species,resp_var,response_label,model_id,treatment,component,estimate_raw,estimate,display_sign,estimate_raw_boot_mean,estimate_boot_mean,lower_raw,upper_raw,lower,upper,p_boot,n_boot
fagus,chl,Chlorophyll,fagus__chl,culture,direct,0.11934786264163048,0.11934786264163048,1,0.12008632363960432,0.12008632363960432,-0.07294507541382467,0.31766439240288413,-0.07294507541382467,0.31766439240288413,0.2217782217782218,1000
fagus,chl,Chlorophyll,fagus__chl,culture,indirect,-0.017618722097074015,-0.017618722097074015,1,-0.018083311191298756,-0.018083311191298756,-0.0467124101292531,0.007787903647272986,-0.0467124101292531,0.007787903647272986,0.18581418581418582,1000
fagus,chl,Chlorophyll,fagus__chl,culture,total,0.10172914054455647,0.10172914054455647,1,0.10200301244830556,0.10200301244830556,-0.07808083024920065,0.286671759204831,-0.07808083024920065,0.286671759204831,0.2837162837162837,1000
fagus,chl,Chlorophyll,fagus__chl,culture,treatment_to_swc,0.08885682968479576,0.08885682968479576,1,0.0918874558279826,0.0918874558279826,-0.041387146453119535,0.22791197685622938,-0.041387146453119535,0.22791197685622938,0.18581418581418582,1000
fagus,chl,Chlorophyll,fagus__chl,extreme_event,direct,-0.285251453524495,-0.285251453524495,1,-0.2793486547351549,-0.2793486547351549,-0.39521931138241884,-0.16563494334362658,-0.39521931138241884,-0.16563494334362658,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,extreme_event,indirect,0.2095826628173838,0.2095826628173838,1,0.2066988405913203,0.2066988405913203,0.15593426082339626,0.2611064158529252,0.15593426082339626,0.2611064158529252,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,extreme_event,total,-0.07566879070711119,-0.07566879070711119,1,-0.0726498141438346,-0.0726498141438346,-0.17897960339308577,0.029890028573764563,-0.17897960339308577,0.029890028573764563,0.1998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,extreme_event,treatment_to_swc,-1.0569921514309482,-1.0569921514309482,1,-1.055724445749336,-1.055724445749336,-1.1449210981420574,-0.9599720417486903,-1.1449210981420574,-0.9599720417486903,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,precipitation,direct,-0.4511641958014756,-0.4511641958014756,1,-0.45739556180395763,-0.45739556180395763,-0.6860129051115149,-0.25808723976376086,-0.6860129051115149,-0.25808723976376086,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,precipitation,indirect,0.15117422641921904,0.15117422641921904,1,0.14969450951444777,0.14969450951444777,0.10875747203573223,0.19602103518827826,0.10875747203573223,0.19602103518827826,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,precipitation,total,-0.2999899693822565,-0.2999899693822565,1,-0.30770105228950984,-0.30770105228950984,-0.5266875304488928,-0.11737340724624604,-0.5266875304488928,-0.11737340724624604,0.003996003996003996,1000
fagus,chl,Chlorophyll,fagus__chl,precipitation,treatment_to_swc,-0.7624197950141983,-0.7624197950141983,1,-0.7650706626564713,-0.7650706626564713,-0.9015191081816797,-0.626768815673829,-0.9015191081816797,-0.626768815673829,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,robinia,direct,-0.8674447369666454,-0.8674447369666454,1,-0.8673184427915757,-0.8673184427915757,-1.0653370799649122,-0.6656741976393133,-1.0653370799649122,-0.6656741976393133,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,robinia,indirect,0.06736324482499861,0.06736324482499861,1,0.06767488571922034,0.06767488571922034,0.035407717204335595,0.10405963782023617,0.035407717204335595,0.10405963782023617,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,robinia,total,-0.8000814921416468,-0.8000814921416468,1,-0.7996435570723553,-0.7996435570723553,-0.9878490462105869,-0.6094659283492725,-0.9878490462105869,-0.6094659283492725,0.001998001998001998,1000
fagus,chl,Chlorophyll,fagus__chl,robinia,treatment_to_swc,-0.33973430873423893,-0.33973430873423893,1,-0.3432573995540241,-0.3432573995540241,-0.4812473250158122,-0.20248167016611587,-0.4812473250158122,-0.20248167016611587,0.001998001998001998,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,culture,direct,0.46026245568275603,0.46026245568275603,1,0.465204936317767,0.465204936317767,0.1747201375453613,0.7534388122523589,0.1747201375453613,0.7534388122523589,0.003996003996003996,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,culture,indirect,-0.011375165823978892,-0.011375165823978892,1,-0.01309579118511028,-0.01309579118511028,-0.037866191918685295,6.175311247607668e-4,-0.037866191918685295,6.175311247607668e-4,0.0899100899100899,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,culture,total,0.44888728985877713,0.44888728985877713,1,0.4521091451326567,0.4521091451326567,0.16959286941415896,0.7350344697930964,0.16959286941415896,0.7350344697930964,0.003996003996003996,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,culture,treatment_to_swc,0.262944506200688,0.262944506200688,1,0.2751099864412559,0.2751099864412559,-0.008827349968546694,0.5419698864700737,-0.008827349968546694,0.5419698864700737,0.06393606393606394,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,precipitation,direct,-0.638118760436481,-0.638118760436481,1,-0.6354315505541663,-0.6354315505541663,-0.9409435784052903,-0.32715879926032004,-0.9409435784052903,-0.32715879926032004,0.001998001998001998,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,precipitation,indirect,0.055139183292369644,0.055139183292369644,1,0.055002779772339624,0.055002779772339624,0.0072988580432015475,0.10179019188139138,0.0072988580432015475,0.10179019188139138,0.03596403596403597,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,precipitation,total,-0.5829795771441113,-0.5829795771441113,1,-0.5804287707818268,-0.5804287707818268,-0.8939254306019185,-0.27784663869747495,-0.8939254306019185,-0.27784663869747495,0.001998001998001998,1000
fagus,chlavg,Senescence (Chl),fagus__chlavg,precipitation,treatment_to_swc,-1.2745788103201428,-1.2745788103201428,1,-1.2724593085480513,-1.2724593085480513,-1.5354390036861434,-0.9960156882594853,-1.5354390036861434,-0.9960156882594853,0.001998001998001998,1000
