model_id,data_name,response_var,species,seed,date,effect,contrast,key,estimate,lower,upper,boot_mean,boot_median,boot_se,p_boot,display_sign,estimate_raw,lower_raw,upper_raw,inference,bootstrap_replicates
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-03-07,culture,mixed - mono,2025-03-07||culture,0.0016665225159148897,-0.014504929426569306,0.020341748797328883,0.0016821005752032836,7.718523791760156e-4,0.008530872389029854,0.913086913086913,1,0.0016665225159148897,-0.014504929426569306,0.020341748797328883,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-03-07,precipitation,drought - control,2025-03-07||precipitation,0.028496632800452653,-0.0021025649830099776,0.05734355950846144,0.02631152965990098,0.025548190801842386,0.01550543073140155,0.07592407592407592,1,0.028496632800452653,-0.0021025649830099776,0.05734355950846144,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-03-07,robinia,with-robinia - without-robinia,2025-03-07||robinia,-0.04816340293798632,-0.0785272995652923,-0.010052206021638359,-0.043363269906237706,-0.042898919463821863,0.017430272046816832,0.005994005994005994,1,-0.04816340293798632,-0.0785272995652923,-0.010052206021638359,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-05-08,culture,mixed - mono,2025-05-08||culture,0.011351140238935799,-0.0480788717224296,0.08888418283157172,0.01182154052538765,0.009576500798384027,0.033915761390319314,0.7532467532467533,1,0.011351140238935799,-0.0480788717224296,0.08888418283157172,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-05-08,precipitation,drought - control,2025-05-08||precipitation,0.02680093711343073,-0.032885882527694706,0.09638122961135365,0.025203166078379934,0.023210870831071647,0.03335910963639808,0.47952047952047955,1,0.02680093711343073,-0.032885882527694706,0.09638122961135365,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-05-08,robinia,with-robinia - without-robinia,2025-05-08||robinia,-0.0371521297148143,-0.0954690993368073,0.04594329407529077,-0.030848966985651323,-0.03176018170636721,0.03702470254741313,0.3996003996003996,1,-0.0371521297148143,-0.0954690993368073,0.04594329407529077,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-06-11,culture,mixed - mono,2025-06-11||culture,0.12599039628140515,-0.005233906375111025,0.26922106511303057,0.12626374194061737,0.12338877820951041,0.06939397283040169,0.06393606393606394,1,0.12599039628140515,-0.005233906375111025,0.26922106511303057,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-06-11,precipitation,drought - control,2025-06-11||precipitation,-0.2079170905257016,-0.3362379723533135,-0.07010477296149532,-0.2109926098987252,-0.21189691811854547,0.06701040125688437,0.003996003996003996,1,-0.2079170905257016,-0.3362379723533135,-0.07010477296149532,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-06-11,robinia,with-robinia - without-robinia,2025-06-11||robinia,-0.37856022913891657,-0.49647925600847487,-0.2476850328161068,-0.37435034571079984,-0.3752095510743063,0.06363970975423958,0.001998001998001998,1,-0.37856022913891657,-0.49647925600847487,-0.2476850328161068,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-07-09,culture,mixed - mono,2025-07-09||culture,0.2925060190167239,0.12359410806807394,0.46725593056758824,0.29243408786123193,0.291228555290432,0.08817504860303853,0.001998001998001998,1,0.2925060190167239,0.12359410806807394,0.46725593056758824,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-07-09,precipitation,drought - control,2025-07-09||precipitation,-0.4370242741566539,-0.6033971691207286,-0.2755800842261406,-0.44259336185915876,-0.443677456867788,0.08245963450084631,0.001998001998001998,1,-0.4370242741566539,-0.6033971691207286,-0.2755800842261406,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-07-09,robinia,with-robinia - without-robinia,2025-07-09||robinia,-0.9214603620313314,-1.0827971216586916,-0.7686645793359306,-0.9218788960061527,-0.9220739356328381,0.07994788136284185,0.001998001998001998,1,-0.9214603620313314,-1.0827971216586916,-0.7686645793359306,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-08-05,culture,mixed - mono,2025-08-05||culture,0.3221823221390633,0.11871599311353359,0.5398732580815625,0.3211821531245278,0.319335805928416,0.10755003879904704,0.001998001998001998,1,0.3221823221390633,0.11871599311353359,0.5398732580815625,container-cluster bootstrap percentile,1000
