species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-06-06,culture,mixed - mono,0.014668759504129023,-0.17256674097277955,0.20955030657976342,0.8691308691308691
fagus,2025-06-06,precipitation,drought - control,-0.16714584056709106,-0.35428787993415617,0.016588005800296624,0.08791208791208792
fagus,2025-06-06,robinia,with-robinia - without-robinia,0.2851165673314332,0.12685220115013718,0.47249741530393136,0.003996003996003996
fagus,2025-06-19,culture,mixed - mono,0.05830214278459287,-0.15432953371740868,0.2754133400664623,0.6213786213786214
fagus,2025-06-19,precipitation,drought - control,-0.1973174673153045,-0.45172767491508065,0.04058079744827981,0.08791208791208792
fagus,2025-06-19,robinia,with-robinia - without-robinia,-0.013807257091730626,-0.20570104786290758,0.22028123686562417,0.8771228771228772
fagus,2025-07-03,culture,mixed - mono,0.25596388107543494,-0.07349875663675406,0.556625121330031,0.14185814185814186
fagus,2025-07-03,precipitation,drought - control,-0.6909411709687752,-1.0125854685119078,-0.37373779862637146,0.001998001998001998
fagus,2025-07-03,robinia,with-robinia - without-robinia,-0.6603727165736109,-0.9639727242499656,-0.32637464505458014,0.001998001998001998
fagus,2025-07-17,culture,mixed - mono,0.07964271704132207,-0.27801526326921794,0.3843554244378734,0.6713286713286714
fagus,2025-07-17,precipitation,drought - control,-0.8343956307137121,-1.1926479693787788,-0.48425853870032437,0.001998001998001998
fagus,2025-07-17,robinia,with-robinia - without-robinia,-0.9103138961520179,-1.2241311846661735,-0.5611727805619086,0.001998001998001998
fagus,2025-07-31,culture,mixed - mono,0.19175521651049748,-0.10467911808120262,0.4730742251376065,0.21578421578421578
fagus,2025-07-31,precipitation,drought - control,-0.6709890290001238,-0.9707675867875477,-0.3717030817302208,0.001998001998001998
fagus,2025-07-31,robinia,with-robinia - without-robinia,-0.7527258577999693,-1.0150147392600566,-0.45339419755172794,0.001998001998001998
fagus,2025-08-15,culture,mixed - mono,0.15333283575864665,-0.11037887635710311,0.4109632512840794,0.2757242757242757
fagus,2025-08-15,precipitation,drought - control,-0.6045039586220552,-0.8595828415201471,-0.3448410008037748,0.001998001998001998
fagus,2025-08-15,robinia,with-robinia - without-robinia,-0.8394629559424324,-1.0811238153106164,-0.5734071497170166,0.001998001998001998
fagus,2025-08-28,culture,mixed - mono,0.005561188941243314,-0.2900188076445716,0.27877162104393943,0.995004995004995
fagus,2025-08-28,precipitation,drought - control,-0.4073777306807518,-0.660952296707522,-0.12241205346514607,0.003996003996003996
fagus,2025-08-28,robinia,with-robinia - without-robinia,-1.151519441446668,-1.398295287461658,-0.9037129814294477,0.001998001998001998
fagus,2025-09-10,culture,mixed - mono,0.09349393564595002,-0.1994948214566931,0.3697505389145772,0.5954045954045954
fagus,2025-09-10,precipitation,drought - control,-0.06381765814071252,-0.3724781265397949,0.23993410613516336,0.6633366633366633
fagus,2025-09-10,robinia,with-robinia - without-robinia,-1.4839408987162892,-1.8009080884439606,-1.158558675431726,0.001998001998001998
fagus,2025-09-23,culture,mixed - mono,0.10868295646924446,-0.15569957036052742,0.3689720685862116,0.48151848151848153
fagus,2025-09-23,precipitation,drought - control,4.82530011235675e-4,-0.30470211342347286,0.30234211233609076,0.971028971028971
fagus,2025-09-23,robinia,with-robinia - without-robinia,-1.453056556375589,-1.7553651255510265,-1.1404040558659199,0.001998001998001998
fagus,2025-10-06,culture,mixed - mono,0.14773626577837073,-0.12364183201941747,0.395366146439134,0.3076923076923077
fagus,2025-10-06,precipitation,drought - control,6.577879438126967e-4,-0.29345876171979896,0.30327678876403685,0.985014985014985
fagus,2025-10-06,robinia,with-robinia - without-robinia,-1.4410805976495296,-1.724221753960364,-1.1274420191044605,0.001998001998001998
fagus,2025-10-20,culture,mixed - mono,0.10619429382665911,-0.09984416988608032,0.3142984445314019,0.34565434565434566
