species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-03-07,culture,mixed - mono,0.0022299661508581713,-0.020612840457414593,0.0290920878227303,0.9110889110889111
fagus,2025-03-07,precipitation,drought - control,0.04028928675676717,-0.017229599334166287,0.09915031278735717,0.1958041958041958
fagus,2025-03-07,robinia,with-robinia - without-robinia,-0.06228915619442516,-0.12494532331752285,6.116567380349905e-5,0.055944055944055944
fagus,2025-05-08,culture,mixed - mono,-0.055992317742030395,-0.2530970036366927,0.13440036175645811,0.5634365634365635
fagus,2025-05-08,precipitation,drought - control,0.10591407832539354,-0.06767294969787986,0.2844535193547542,0.24975024975024976
fagus,2025-05-08,robinia,with-robinia - without-robinia,-0.07435187969356409,-0.2649030500659281,0.11967264667586106,0.46553446553446554
fagus,2025-06-11,culture,mixed - mono,-0.03683861898713226,-0.2677665307743521,0.19257257159939517,0.7732267732267732
fagus,2025-06-11,precipitation,drought - control,0.07072536566743028,-0.12682619058611622,0.2880161919031677,0.5114885114885115
fagus,2025-06-11,robinia,with-robinia - without-robinia,-0.13842337800950932,-0.35555932226988163,0.09383804387987926,0.25374625374625376
fagus,2025-07-09,culture,mixed - mono,0.16672412489138594,-0.1759381188534149,0.5091848768042769,0.33966033966033965
fagus,2025-07-09,precipitation,drought - control,-0.2563897245115071,-0.5750676787175146,0.039273549775057065,0.0999000999000999
fagus,2025-07-09,robinia,with-robinia - without-robinia,-0.6194576639728908,-0.9294539303599572,-0.2947403354408481,0.001998001998001998
fagus,2025-08-05,culture,mixed - mono,0.21452267515824516,-0.1536328463770971,0.5797651001175795,0.25774225774225773
fagus,2025-08-05,precipitation,drought - control,-0.38663514489695916,-0.7468117949872904,-0.052283445623278385,0.029970029970029972
fagus,2025-08-05,robinia,with-robinia - without-robinia,-0.7386734252164038,-1.0899155372780516,-0.39782888842675207,0.001998001998001998
fagus,2025-09-01,culture,mixed - mono,0.21977537389037566,-0.14547411115763775,0.587587879182156,0.26173826173826176
fagus,2025-09-01,precipitation,drought - control,-0.4268150975785703,-0.8004986936616143,-0.08536865426033365,0.01998001998001998
fagus,2025-09-01,robinia,with-robinia - without-robinia,-0.784559764620444,-1.1484121178196636,-0.4301438930595498,0.001998001998001998
fagus,2025-09-29,culture,mixed - mono,0.23049249241677666,-0.141131803916045,0.6086154953017914,0.24775224775224775
fagus,2025-09-29,precipitation,drought - control,-0.44922392364757174,-0.8343510147875504,-0.1067851622606299,0.017982017982017984
fagus,2025-09-29,robinia,with-robinia - without-robinia,-0.8110820284681582,-1.1926532140553632,-0.45121295073679024,0.001998001998001998
fagus,2025-11-05,culture,mixed - mono,0.237464164534374,-0.13894088420716055,0.6179930637197595,0.23376623376623376
fagus,2025-11-05,precipitation,drought - control,-0.4458263046979982,-0.8290361778490974,-0.108174562795103,0.017982017982017984
fagus,2025-11-05,robinia,with-robinia - without-robinia,-0.8039944138641515,-1.183886255269461,-0.4408824001137318,0.001998001998001998
fagus,2025-12-02,culture,mixed - mono,0.2374641645343744,-0.13894088420716014,0.6179930637197595,0.23376623376623376
fagus,2025-12-02,precipitation,drought - control,-0.44582630469799706,-0.8290361778490972,-0.1081745627951034,0.017982017982017984
fagus,2025-12-02,robinia,with-robinia - without-robinia,-0.8039944138641512,-1.1838862552694591,-0.44088240011373103,0.001998001998001998
quercus,2025-03-07,culture,mixed - mono,3.8958310794914635e-4,-0.005142467545279351,0.006280289648619344,0.8651348651348651
quercus,2025-03-07,precipitation,drought - control,-0.004273179295870923,-0.021941327618357293,0.007568197854676727,0.6073926073926074
quercus,2025-03-07,robinia,with-robinia - without-robinia,0.01520597610642718,-3.545324737917511e-14,0.0386559662361875,0.053946053946053944
quercus,2025-05-08,culture,mixed - mono,0.15077162767917202,0.0492026210070704,0.24551743305844975,0.005994005994005994
quercus,2025-05-08,precipitation,drought - control,-0.030860702311796807,-0.13143627785683207,0.07643991665150418,0.5934065934065934
quercus,2025-05-08,robinia,with-robinia - without-robinia,-0.017740767303687666,-0.12447988687758624,0.08804704189190232,0.6773226773226774
quercus,2025-06-11,culture,mixed - mono,0.17832629029292718,0.06287298831014801,0.283105996513824,0.005994005994005994
quercus,2025-06-11,precipitation,drought - control,-0.03632135141183656,-0.1424807279125073,0.06721865301254537,0.4875124875124875
quercus,2025-06-11,robinia,with-robinia - without-robinia,-0.07429067994027232,-0.17569909517861285,0.030245950109404535,0.15584415584415584
quercus,2025-07-09,culture,mixed - mono,0.07383407274370135,-0.07536781328599271,0.21662022519428115,0.35364635364635366
quercus,2025-07-09,precipitation,drought - control,-0.12054673748297504,-0.2627073380792436,0.015445729127098464,0.0939060939060939
quercus,2025-07-09,robinia,with-robinia - without-robinia,-0.9304384380748197,-1.0744677644945806,-0.7923244063624312,0.001998001998001998
quercus,2025-08-05,culture,mixed - mono,0.0442566451709197,-0.10855665343482207,0.1921160748905757,0.6373626373626373
quercus,2025-08-05,precipitation,drought - control,-0.22266453262993652,-0.36519068920976894,-0.07501767938387058,0.003996003996003996
quercus,2025-08-05,robinia,with-robinia - without-robinia,-0.9026095022462824,-1.046080547009055,-0.7562710317429583,0.001998001998001998
quercus,2025-09-01,culture,mixed - mono,-0.04395647753372741,-0.2297398789003509,0.1398272636265662,0.6053946053946054
quercus,2025-09-01,precipitation,drought - control,-0.4880859059217416,-0.6880957010701941,-0.300046622799487,0.001998001998001998
quercus,2025-09-01,robinia,with-robinia - without-robinia,-1.1995135224064157,-1.4053535796689516,-0.994633673381749,0.001998001998001998
quercus,2025-09-29,culture,mixed - mono,-0.0856949835405572,-0.2929337258442439,0.1313245008773177,0.38961038961038963
quercus,2025-09-29,precipitation,drought - control,-0.5277445067164659,-0.7612874342214134,-0.3003637241087871,0.001998001998001998
quercus,2025-09-29,robinia,with-robinia - without-robinia,-1.2552954700416097,-1.4871556232969527,-1.0179454816501976,0.001998001998001998
quercus,2025-11-05,culture,mixed - mono,-0.07796145843086637,-0.2883158776174369,0.13774812394167887,0.43956043956043955
quercus,2025-11-05,precipitation,drought - control,-0.5589626758419681,-0.7993394610083494,-0.32644918308352655,0.001998001998001998
quercus,2025-11-05,robinia,with-robinia - without-robinia,-1.2766985762666565,-1.505794200899054,-1.032646240893449,0.001998001998001998
quercus,2025-12-02,culture,mixed - mono,-0.10029513449178452,-0.3124939260465124,0.1273986056980286,0.34565434565434566
quercus,2025-12-02,precipitation,drought - control,-0.5846137517388345,-0.8294770246218284,-0.3402004610114115,0.001998001998001998
quercus,2025-12-02,robinia,with-robinia - without-robinia,-1.2458885518060094,-1.489245928422945,-1.0010192331568455,0.001998001998001998
