species,robinia,precipitation,culture,date,mean,lower_95,upper_95,n_containers,n_trees
Fagus,without robinia,control,mono,2025-06-13,4,4,4,6,48
Fagus,without robinia,control,mono,2025-06-26,4,4,4,6,48
Fagus,without robinia,control,mono,2025-07-10,4,4,4,6,48
Fagus,without robinia,control,mono,2025-07-24,4,4,4,6,48
Fagus,without robinia,control,mono,2025-08-06,4,4,4,6,48
Fagus,without robinia,control,mono,2025-08-22,4,4,4,6,48
Fagus,without robinia,control,mono,2025-09-05,4,4,4,6,48
Fagus,without robinia,control,mono,2025-09-19,4,4,4,6,48
Fagus,without robinia,control,mono,2025-10-03,3.9895833333333335,3.9791666666666665,4,6,48
Fagus,without robinia,control,mono,2025-10-16,3.9583333333333335,3.9583333333333335,3.9583333333333335,6,48
Fagus,without robinia,control,mono,2025-11-04,1.5625,1.3958333333333333,1.7291666666666667,6,48
Fagus,without robinia,control,mixed,2025-06-13,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-06-26,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-07-10,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-07-24,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-08-06,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-08-22,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-09-05,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-09-19,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-10-03,4,4,4,6,24
Fagus,without robinia,control,mixed,2025-10-16,3.9583333333333335,3.9166666666666665,4,6,24
Fagus,without robinia,control,mixed,2025-11-04,1.8333333333333333,1.5833333333333333,2.0833333333333335,6,24
Fagus,without robinia,drought,mono,2025-06-13,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-06-26,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-07-10,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-07-24,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-08-06,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-08-22,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-09-05,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-09-19,4,4,4,6,48
Fagus,without robinia,drought,mono,2025-10-03,3.9791666666666665,3.9583333333333335,4,6,48
Fagus,without robinia,drought,mono,2025-10-16,3.8541666666666665,3.8333333333333335,3.875,6,48
Fagus,without robinia,drought,mono,2025-11-04,1.3333333333333333,1.2291666666666667,1.4375,6,48
Fagus,without robinia,drought,mixed,2025-06-13,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-06-26,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-07-10,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-07-24,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-08-06,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-08-22,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-09-05,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-09-19,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-10-03,4,4,4,6,24
Fagus,without robinia,drought,mixed,2025-10-16,3.9166666666666665,3.8333333333333335,4,6,24
