species,robinia,precipitation,culture,date,mean,lower_95,upper_95,n_containers,n_trees
Fagus,without robinia,control,mono,2025-03-07,0,0,0,6,48
Fagus,without robinia,control,mono,2025-05-08,14.133333333333333,13.154166666666667,15.1125,6,48
Fagus,without robinia,control,mono,2025-06-11,18.46666666666667,16.70625,20.227083333333333,6,48
Fagus,without robinia,control,mono,2025-07-09,29.31041666666667,22.93541666666667,35.68541666666667,6,48
Fagus,without robinia,control,mono,2025-08-05,31.96666666666667,23.8,40.13333333333333,6,48
Fagus,without robinia,control,mono,2025-09-01,32.6125,23.466666666666665,41.75833333333333,6,48
Fagus,without robinia,control,mono,2025-09-29,33.65416666666667,24.029166666666665,43.27916666666667,6,48
Fagus,without robinia,control,mono,2025-11-05,33.21666666666667,23.695833333333333,42.737500000000004,6,48
Fagus,without robinia,control,mono,2025-12-02,33.21666666666667,23.695833333333333,42.737500000000004,6,48
Fagus,without robinia,control,mixed,2025-03-07,0,0,0,6,24
Fagus,without robinia,control,mixed,2025-05-08,13.929166666666667,11.354166666666668,16.504166666666666,6,24
Fagus,without robinia,control,mixed,2025-06-11,16.720833333333335,13.354166666666668,20.087500000000002,6,24
Fagus,without robinia,control,mixed,2025-07-09,33.075,29.479166666666668,36.670833333333334,6,24
Fagus,without robinia,control,mixed,2025-08-05,39.05416666666667,36.39093750000001,41.704166666666666,6,24
Fagus,without robinia,control,mixed,2025-09-01,40.78333333333333,38.21666666666667,43.35,6,24
Fagus,without robinia,control,mixed,2025-09-29,42.09583333333333,39.675,44.516666666666666,6,24
Fagus,without robinia,control,mixed,2025-11-05,41.99166666666667,39.59166666666667,44.391666666666666,6,24
Fagus,without robinia,control,mixed,2025-12-02,41.99166666666667,39.59166666666667,44.391666666666666,6,24
Fagus,without robinia,drought,mono,2025-03-07,0,0,0,6,48
Fagus,without robinia,drought,mono,2025-05-08,14.13125,11.347916666666666,16.914583333333333,6,48
Fagus,without robinia,drought,mono,2025-06-11,16.841666666666665,13.889583333333333,19.79375,6,48
Fagus,without robinia,drought,mono,2025-07-09,18.349999999999998,13.972916666666666,22.727083333333333,6,48
Fagus,without robinia,drought,mono,2025-08-05,18.714583333333334,14.0875,23.341666666666665,6,48
Fagus,without robinia,drought,mono,2025-09-01,18.381249999999998,13.837499999999999,22.925,6,48
Fagus,without robinia,drought,mono,2025-09-29,18.641666666666666,14.025,23.258333333333333,6,48
Fagus,without robinia,drought,mono,2025-11-05,18.63125,14.108333333333333,23.154166666666665,6,48
Fagus,without robinia,drought,mono,2025-12-02,18.63125,14.108333333333333,23.154166666666665,6,48
Fagus,without robinia,drought,mixed,2025-03-07,0,0,0,6,24
Fagus,without robinia,drought,mixed,2025-05-08,15.962499999999999,13.541666666666666,18.383333333333333,6,24
Fagus,without robinia,drought,mixed,2025-06-11,20.358333333333334,17.041666666666664,23.675,6,24
Fagus,without robinia,drought,mixed,2025-07-09,28.233333333333334,24.224999999999998,32.24166666666667,6,24
Fagus,without robinia,drought,mixed,2025-08-05,30.108333333333334,27.704166666666666,32.5125,6,24
Fagus,without robinia,drought,mixed,2025-09-01,29.233333333333334,27.058333333333334,31.40833333333333,6,24
Fagus,without robinia,drought,mixed,2025-09-29,29.9625,27.7,32.225,6,24
Fagus,without robinia,drought,mixed,2025-11-05,30.0875,28.075,32.1,6,24
Fagus,without robinia,drought,mixed,2025-12-02,30.0875,28.075,32.1,6,24
Fagus,with robinia,control,mono,2025-03-07,0,0,0,5,40
Fagus,with robinia,control,mono,2025-05-08,15.595,11.4525,16.6525,5,40
Fagus,with robinia,control,mono,2025-06-11,18.5175,13.9296875,20.045,5,40
Fagus,with robinia,control,mono,2025-07-09,19.3175,14.9671875,20.545,5,40
Fagus,with robinia,control,mono,2025-08-05,21.1425,16.6175,22.220625,5,40
Fagus,with robinia,control,mono,2025-09-01,20.655,16.1675,22.1825,5,40
Fagus,with robinia,control,mono,2025-09-29,20.8925,16.1925,22.2078125,5,40
Fagus,with robinia,control,mono,2025-11-05,21.03,16.442500000000003,22.4221875,5,40
Fagus,with robinia,control,mono,2025-12-02,21.03,16.442500000000003,22.5075,5,40
Fagus,with robinia,control,mixed,2025-03-07,0,0,0,6,24
Fagus,with robinia,control,mixed,2025-05-08,9.8625,8.608333333333334,11.116666666666667,6,24
Fagus,with robinia,control,mixed,2025-06-11,12.529166666666667,12.075,12.983333333333334,6,24
Fagus,with robinia,control,mixed,2025-07-09,14.070833333333335,12.429166666666667,15.7125,6,24
Fagus,with robinia,control,mixed,2025-08-05,13.758333333333335,12.033333333333333,15.483333333333334,6,24
Fagus,with robinia,control,mixed,2025-09-01,12.820833333333335,10.929166666666667,14.7125,6,24
Fagus,with robinia,control,mixed,2025-09-29,13.320833333333335,11.554166666666667,15.0875,6,24
Fagus,with robinia,control,mixed,2025-11-05,13.404166666666667,11.720833333333333,15.0875,6,24
Fagus,with robinia,control,mixed,2025-12-02,13.404166666666667,11.720833333333333,15.0875,6,24
Fagus,with robinia,drought,mono,2025-03-07,0,0,0,6,48
Fagus,with robinia,drought,mono,2025-05-08,14.870833333333334,13.46875,16.272916666666667,6,48
Fagus,with robinia,drought,mono,2025-06-11,16.68125,15.25,18.1125,6,48
Fagus,with robinia,drought,mono,2025-07-09,16.339583333333334,14.972916666666666,17.70625,6,48
Fagus,with robinia,drought,mono,2025-08-05,16.058333333333334,14.4625,17.65416666666667,6,48
Fagus,with robinia,drought,mono,2025-09-01,15.6,13.910416666666666,17.289583333333333,6,48
Fagus,with robinia,drought,mono,2025-09-29,16.047916666666666,14.233333333333334,17.8625,6,48
Fagus,with robinia,drought,mono,2025-11-05,15.891666666666667,14.160416666666666,17.62291666666667,6,48
Fagus,with robinia,drought,mono,2025-12-02,15.891666666666667,14.160416666666666,17.62291666666667,6,48
Fagus,with robinia,drought,mixed,2025-03-07,0,0,0,6,24
Fagus,with robinia,drought,mixed,2025-05-08,15.008333333333333,10.779166666666667,19.2375,6,24
Fagus,with robinia,drought,mixed,2025-06-11,18.1125,11.8,24.425,6,24
Fagus,with robinia,drought,mixed,2025-07-09,18.3,12.3625,24.2375,6,24
Fagus,with robinia,drought,mixed,2025-08-05,18.258333333333333,11.654166666666667,24.8625,6,24
Fagus,with robinia,drought,mixed,2025-09-01,18.09166666666667,11.9875,24.195833333333333,6,24
Fagus,with robinia,drought,mixed,2025-09-29,18.258333333333333,11.695833333333333,24.820833333333333,6,24
Fagus,with robinia,drought,mixed,2025-11-05,18.09166666666667,11.779166666666667,24.40416666666667,6,24
Fagus,with robinia,drought,mixed,2025-12-02,18.09166666666667,11.779166666666667,24.40416666666667,6,24
Quercus,without robinia,control,mono,2025-03-07,0,0,0,6,48
Quercus,without robinia,control,mono,2025-05-08,6.34375,5.510416666666666,7.177083333333333,6,48
Quercus,without robinia,control,mono,2025-06-11,11.197916666666666,10.366666666666667,12.029166666666667,6,48
Quercus,without robinia,control,mono,2025-07-09,24.583333333333332,23.76875,25.397916666666667,6,48
Quercus,without robinia,control,mono,2025-08-05,26.125,24.68541666666667,27.56458333333333,6,48
Quercus,without robinia,control,mono,2025-09-01,37.02083333333333,35.53958333333333,38.50208333333333,6,48
Quercus,without robinia,control,mono,2025-09-29,39.854166666666664,37.35208333333333,42.356249999999996,6,48
Quercus,without robinia,control,mono,2025-11-05,40.8125,38.12291666666667,43.50208333333333,6,48
Quercus,without robinia,control,mono,2025-12-02,41.45833333333333,38.78958333333333,44.12708333333333,6,48
Quercus,without robinia,control,mixed,2025-03-07,0,0,0,6,24
Quercus,without robinia,control,mixed,2025-05-08,8.758333333333333,7.55,9.966666666666667,6,24
Quercus,without robinia,control,mixed,2025-06-11,13.095833333333335,10.6125,15.579166666666667,6,24
Quercus,without robinia,control,mixed,2025-07-09,24.945833333333333,20.758333333333333,29.133333333333333,6,24
Quercus,without robinia,control,mixed,2025-08-05,25.320833333333333,21.966666666666665,28.675,6,24
Quercus,without robinia,control,mixed,2025-09-01,31.21666666666667,28.441666666666666,33.99166666666667,6,24
Quercus,without robinia,control,mixed,2025-09-29,33.925,30.008333333333333,37.84166666666667,6,24
Quercus,without robinia,control,mixed,2025-11-05,34.34166666666667,30.820833333333333,37.862500000000004,6,24
Quercus,without robinia,control,mixed,2025-12-02,35.00833333333333,31.1125,38.90416666666667,6,24
