species,robinia,precipitation,culture,date,mean,lower_95,upper_95,n_containers,n_trees
Fagus,without robinia,control,mono,2025-03-07,0,0,0,6,48
Fagus,without robinia,control,mono,2025-05-08,0.25041666666666673,0.1772916666666666,0.3235416666666669,6,48
Fagus,without robinia,control,mono,2025-06-11,1.7679166666666668,1.7314583333333335,1.804375,6,48
Fagus,without robinia,control,mono,2025-07-09,2.9941666666666666,2.7827083333333333,3.205625,6,48
Fagus,without robinia,control,mono,2025-08-05,3.834791666666667,3.5170833333333333,4.1525,6,48
Fagus,without robinia,control,mono,2025-09-01,3.9537500000000003,3.7164583333333336,4.191041666666667,6,48
Fagus,without robinia,control,mono,2025-09-29,4.240625,3.915,4.56625,6,48
Fagus,without robinia,control,mono,2025-11-05,4.274791666666667,3.97375,4.575833333333334,6,48
Fagus,without robinia,control,mono,2025-12-02,4.274791666666667,3.97375,4.575833333333334,6,48
Fagus,without robinia,control,mixed,2025-03-07,0,0,0,6,24
Fagus,without robinia,control,mixed,2025-05-08,0.18249999999999977,0.12081249999999975,0.24416666666666645,6,24
Fagus,without robinia,control,mixed,2025-06-11,2.140833333333333,1.9316666666666666,2.3499999999999996,6,24
Fagus,without robinia,control,mixed,2025-07-09,3.8320833333333333,3.52875,4.135416666666667,6,24
Fagus,without robinia,control,mixed,2025-08-05,4.73875,4.4991666666666665,4.978333333333333,6,24
Fagus,without robinia,control,mixed,2025-09-01,4.999166666666667,4.6970833333333335,5.30125,6,24
Fagus,without robinia,control,mixed,2025-09-29,5.182916666666666,4.9279166666666665,5.437916666666666,6,24
Fagus,without robinia,control,mixed,2025-11-05,5.333333333333333,5.048333333333334,5.618333333333333,6,24
Fagus,without robinia,control,mixed,2025-12-02,5.333333333333333,5.048333333333334,5.618333333333333,6,24
Fagus,without robinia,drought,mono,2025-03-07,0,0,0,6,48
Fagus,without robinia,drought,mono,2025-05-08,0.22583333333333336,0.18875000000000006,0.2629166666666667,6,48
Fagus,without robinia,drought,mono,2025-06-11,1.5372916666666667,1.4739583333333335,1.600625,6,48
Fagus,without robinia,drought,mono,2025-07-09,2.0483333333333333,2.0172916666666665,2.079375,6,48
Fagus,without robinia,drought,mono,2025-08-05,2.315833333333333,2.251875,2.3797916666666663,6,48
Fagus,without robinia,drought,mono,2025-09-01,2.4595833333333332,2.3964583333333334,2.522708333333333,6,48
Fagus,without robinia,drought,mono,2025-09-29,2.674583333333333,2.6060416666666666,2.743125,6,48
Fagus,without robinia,drought,mono,2025-11-05,2.77875,2.6958333333333333,2.861666666666667,6,48
Fagus,without robinia,drought,mono,2025-12-02,2.77875,2.6958333333333333,2.861666666666667,6,48
Fagus,without robinia,drought,mixed,2025-03-07,0,0,0,6,24
Fagus,without robinia,drought,mixed,2025-05-08,0.11541666666666657,0.07958333333333334,0.1512499999999998,6,24
