species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-09-03,culture,mixed - mono,-0.03320215588248237,-0.1750393993136275,0.16551829885293795,0.6493506493506493
fagus,2025-09-03,precipitation,drought - control,0.10120749750331141,-0.04422431034431048,0.27991513858567685,0.1978021978021978
fagus,2025-09-03,robinia,with-robinia - without-robinia,-2.1994911780355295,-2.331190474823501,-2.0101747764493423,0.001998001998001998
fagus,2025-09-10,culture,mixed - mono,-0.036543472777410525,-0.17882451598567523,0.15948457421808357,0.6353646353646354
fagus,2025-09-10,precipitation,drought - control,0.09729469444779433,-0.043788182329964793,0.27348052435289905,0.2057942057942058
fagus,2025-09-10,robinia,with-robinia - without-robinia,-2.20100123635774,-2.3290243916032276,-2.0126147361120856,0.001998001998001998
fagus,2025-09-17,culture,mixed - mono,0.011557307638372179,-0.11554695688278248,0.1807918413708466,0.961038961038961
fagus,2025-09-17,precipitation,drought - control,0.042306880082963995,-0.09219779691002516,0.19403648562466388,0.5554445554445554
fagus,2025-09-17,robinia,with-robinia - without-robinia,-2.199157463489493,-2.3094310145424597,-2.0495965103066465,0.001998001998001998
fagus,2025-09-25,culture,mixed - mono,0.023487602668217724,-0.11825540554582102,0.18993944234969573,0.8271728271728271
fagus,2025-09-25,precipitation,drought - control,0.04049925962389716,-0.10045746737287622,0.19658659750280674,0.5874125874125874
fagus,2025-09-25,robinia,with-robinia - without-robinia,-2.1348061751466934,-2.2511914956187233,-1.9897966997475554,0.001998001998001998
fagus,2025-10-01,culture,mixed - mono,0.030433036662864683,-0.11890983650301547,0.2051992659762851,0.7552447552447552
fagus,2025-10-01,precipitation,drought - control,0.0398179257585566,-0.11472016498550515,0.20780638013701694,0.6233766233766234
fagus,2025-10-01,robinia,with-robinia - without-robinia,-2.0520588724396944,-2.183793164905957,-1.9044232293366425,0.001998001998001998
fagus,2025-10-08,culture,mixed - mono,0.06228609010618528,-0.12283581716303904,0.26160577908466337,0.5134865134865135
fagus,2025-10-08,precipitation,drought - control,-0.012069124280333906,-0.18722085934252644,0.16697776830530167,0.9070929070929071
fagus,2025-10-08,robinia,with-robinia - without-robinia,-1.7460203858559293,-1.8993642874224128,-1.5844761361402275,0.001998001998001998
fagus,2025-10-15,culture,mixed - mono,0.0753551860252416,-0.10905391585719665,0.26832382435542507,0.4175824175824176
fagus,2025-10-15,precipitation,drought - control,-0.005308623763421601,-0.19090801991747816,0.17591121799432521,0.961038961038961
fagus,2025-10-15,robinia,with-robinia - without-robinia,-1.6587846225013394,-1.8188831799852674,-1.49963730889195,0.001998001998001998
fagus,2025-10-21,culture,mixed - mono,0.11152984284300946,-0.07566265987965598,0.3125279937676688,0.24775224775224775
fagus,2025-10-21,precipitation,drought - control,-0.046733722776140706,-0.24208417971109678,0.1403321560110363,0.6273726273726273
fagus,2025-10-21,robinia,with-robinia - without-robinia,-1.4760036035895518,-1.646236543994877,-1.3063175238729918,0.001998001998001998
fagus,2025-10-27,culture,mixed - mono,0.13332557414753246,-0.041733394467370934,0.31079986751110883,0.12387612387612387
fagus,2025-10-27,precipitation,drought - control,-0.14727913461857378,-0.34470380502176406,0.036536239642882926,0.14185814185814186
fagus,2025-10-27,robinia,with-robinia - without-robinia,-0.9137919265013145,-1.0914329496927995,-0.7419812628655302,0.001998001998001998
fagus,2025-11-04,culture,mixed - mono,0.044599219152849576,-0.005922155439119375,0.09659647913051465,0.08391608391608392
fagus,2025-11-04,precipitation,drought - control,-0.0172138902022973,-0.07593446916992655,0.0393704039556401,0.5314685314685315
fagus,2025-11-04,robinia,with-robinia - without-robinia,-0.10570215266162838,-0.15570941943361438,-0.05590517074001039,0.001998001998001998
fagus,2025-11-12,culture,mixed - mono,0.008545533858108667,-0.01497790575538946,0.03275153186614325,0.5074925074925075
fagus,2025-11-12,precipitation,drought - control,3.31152068860845e-4,-0.03676493166952361,0.036331403020824646,0.961038961038961
fagus,2025-11-12,robinia,with-robinia - without-robinia,-0.031058551520358815,-0.06358601167428492,0.0038018848124665742,0.0979020979020979
fagus,2025-11-19,culture,mixed - mono,0.004991473940126644,-0.0075324130017335265,0.016789386396935328,0.34565434565434566
fagus,2025-11-19,precipitation,drought - control,0.013668610102225523,-0.014180425244878767,0.046838580815781024,0.4195804195804196
fagus,2025-11-19,robinia,with-robinia - without-robinia,-0.014751034025019875,-0.039231363589123505,0.01698914524901441,0.33766233766233766
fagus,2025-11-25,culture,mixed - mono,6.072990882504571e-4,-0.00945209696554759,0.0109246743078962,0.8631368631368631
fagus,2025-11-25,precipitation,drought - control,0.02246476935150184,-0.0056352171880839266,0.05545172084700895,0.12987012987012986
fagus,2025-11-25,robinia,with-robinia - without-robinia,-0.005470988683622612,-0.02988947864154071,0.027252926655857577,0.7352647352647352
