container,block,soil_type,response,value
b2-p2-c1,2,inoc_robinia,n_perc,0.3289851669249924
b2-p2-c1,2,inoc_robinia,cn_ratio,18.088389269024542
b2-p2-c2,2,inoc_robinia,c_perc,7.181138295238301
b2-p2-c2,2,inoc_robinia,n_perc,0.3636823753916695
b2-p2-c2,2,inoc_robinia,cn_ratio,19.745631851157317
b2-p2-c3,2,inoc_robinia,c_perc,5.563488835906215
b2-p2-c3,2,inoc_robinia,n_perc,0.3428390442193502
b2-p2-c3,2,inoc_robinia,cn_ratio,16.227699060865035
b2-p2-c4,2,inoc_robinia,c_perc,5.882877759499634
b2-p2-c4,2,inoc_robinia,n_perc,0.3108373435894818
b2-p2-c4,2,inoc_robinia,cn_ratio,18.925904112953244
b2-p3-c1,2,inoc_beech,c_perc,5.0059482354815055
b2-p3-c1,2,inoc_beech,n_perc,0.2777438733931499
b2-p3-c1,2,inoc_beech,cn_ratio,18.02361353402573
b2-p3-c2,2,inoc_beech,c_perc,6.045143593450361
b2-p3-c2,2,inoc_beech,n_perc,0.33130479351098535
b2-p3-c2,2,inoc_beech,cn_ratio,18.24647186473599
b2-p3-c3,2,inoc_robinia,c_perc,7.175396508406546
b2-p3-c3,2,inoc_robinia,n_perc,0.4034367749631215
b2-p3-c3,2,inoc_robinia,cn_ratio,17.78567784025751
b2-p3-c4,2,inoc_robinia,c_perc,4.908803986506354
b2-p3-c4,2,inoc_robinia,n_perc,0.26050886817729013
b2-p3-c4,2,inoc_robinia,cn_ratio,18.843135824326914
b2-p4-c1,2,inoc_beech,c_perc,4.994389607809528
b2-p4-c1,2,inoc_beech,n_perc,0.25440996029776486
b2-p4-c1,2,inoc_beech,cn_ratio,19.6312660163306
b2-p4-c2,2,inoc_beech,c_perc,5.912649714309656
b2-p4-c2,2,inoc_beech,n_perc,0.3007771720212906
b2-p4-c2,2,inoc_beech,cn_ratio,19.657907129637906
b2-p4-c3,2,inoc_robinia,c_perc,8.611470120402865
b2-p4-c3,2,inoc_robinia,n_perc,0.4074926266349172
b2-p4-c3,2,inoc_robinia,cn_ratio,21.13282439369902
b2-p4-c4,2,inoc_robinia,c_perc,7.238333809181314
b2-p4-c4,2,inoc_robinia,n_perc,0.2951638470102071
b2-p4-c4,2,inoc_robinia,cn_ratio,24.52310431138609
b2-p5-c1,2,inoc_beech,c_perc,7.726176057540972
b2-p5-c1,2,inoc_beech,n_perc,0.4067496574874443
b2-p5-c1,2,inoc_beech,cn_ratio,18.994917181410205
b2-p5-c2,2,inoc_beech,c_perc,6.188992027877535
b2-p5-c2,2,inoc_beech,n_perc,0.3455674275339958
b2-p5-c2,2,inoc_beech,cn_ratio,17.90965101092661
b2-p5-c3,2,inoc_beech,c_perc,6.186395750863958
b2-p5-c3,2,inoc_beech,n_perc,0.33967979712756524
b2-p5-c3,2,inoc_beech,cn_ratio,18.21243360122676
b2-p5-c4,2,inoc_beech,c_perc,7.496296244169256
b2-p5-c4,2,inoc_beech,n_perc,0.31407574492174295
b2-p5-c4,2,inoc_beech,cn_ratio,23.867797387655898
b2-p6-c1,2,inoc_robinia,c_perc,6.999379830069435
b2-p6-c1,2,inoc_robinia,n_perc,0.3518842744905994
b2-p6-c1,2,inoc_robinia,cn_ratio,19.891141314007267
b2-p6-c2,2,inoc_robinia,c_perc,7.235353916865437
b2-p6-c2,2,inoc_robinia,n_perc,0.3817309817087742
b2-p6-c2,2,inoc_robinia,cn_ratio,18.95406520182674
b2-p6-c3,2,inoc_robinia,c_perc,6.089094458936281
b2-p6-c3,2,inoc_robinia,n_perc,0.36391259995051745
b2-p6-c3,2,inoc_robinia,cn_ratio,16.732299073360576
b2-p6-c4,2,inoc_robinia,c_perc,8.054912717564346
b2-p6-c4,2,inoc_robinia,n_perc,0.3897789165940131
b2-p6-c4,2,inoc_robinia,cn_ratio,20.665337129956164
b3-p1-c1,3,inoc_beech,c_perc,6.562343725524684
b3-p1-c1,3,inoc_beech,n_perc,0.33746974592997625
b3-p1-c1,3,inoc_beech,cn_ratio,19.445724556554314
b3-p1-c2,3,inoc_beech,c_perc,5.083694796502519
b3-p1-c2,3,inoc_beech,n_perc,0.2793345272481702
b3-p1-c2,3,inoc_beech,cn_ratio,18.19930692630057
b3-p1-c3,3,inoc_beech,c_perc,5.894839237574804
b3-p1-c3,3,inoc_beech,n_perc,0.32850881025085404
b3-p1-c3,3,inoc_beech,cn_ratio,17.944234838248082
b3-p1-c4,3,inoc_beech,c_perc,6.0985557195231435
b3-p1-c4,3,inoc_beech,n_perc,0.33899074749158137
b3-p1-c4,3,inoc_beech,cn_ratio,17.99033090032818
b3-p2-c1,3,inoc_robinia,c_perc,4.623395925498422
b3-p2-c1,3,inoc_robinia,n_perc,0.28333808710693403
b3-p2-c1,3,inoc_robinia,cn_ratio,16.317594195352623
b3-p2-c2,3,inoc_robinia,c_perc,4.994983513810146
b3-p2-c2,3,inoc_robinia,n_perc,0.31477106824364004
b3-p2-c2,3,inoc_robinia,cn_ratio,15.868623319421193
b3-p2-c3,3,inoc_robinia,c_perc,7.725875885684973
b3-p2-c3,3,inoc_robinia,n_perc,0.400722498502347
b3-p2-c3,3,inoc_robinia,cn_ratio,19.27986552928653
b3-p2-c4,3,inoc_robinia,c_perc,6.21976696576701
b3-p2-c4,3,inoc_robinia,n_perc,0.3685674280983794
b3-p2-c4,3,inoc_robinia,cn_ratio,16.875519895661554
b3-p3-c1,3,inoc_beech,c_perc,8.062503001195797
b3-p3-c1,3,inoc_beech,n_perc,0.45145603593627137
b3-p3-c1,3,inoc_beech,cn_ratio,17.858888483958424
b3-p3-c2,3,inoc_beech,c_perc,6.256416722637221
b3-p3-c2,3,inoc_beech,n_perc,0.3457383946849958
b3-p3-c2,3,inoc_beech,cn_ratio,18.095811222636925
b3-p3-c3,3,inoc_robinia,c_perc,6.949901757332989
b3-p3-c3,3,inoc_robinia,n_perc,0.3511796142772328
b3-p3-c3,3,inoc_robinia,cn_ratio,19.79016285337823
b3-p3-c4,3,inoc_robinia,c_perc,6.203747000120611
b3-p3-c4,3,inoc_robinia,n_perc,0.32308378903082036
b3-p3-c4,3,inoc_robinia,cn_ratio,19.201665978755774
b3-p4-c1,3,inoc_beech,c_perc,6.1268048898873
b3-p4-c1,3,inoc_beech,n_perc,0.3346606498966359
b3-p4-c1,3,inoc_beech,cn_ratio,18.307515065722963
b3-p4-c2,3,inoc_beech,c_perc,7.093604349054632
b3-p4-c2,3,inoc_beech,n_perc,0.3863645698178095
b3-p4-c2,3,inoc_beech,cn_ratio,18.35987278129469
b3-p4-c3,3,inoc_beech,c_perc,6.485826114725247
b3-p4-c3,3,inoc_beech,n_perc,0.33769823830082285
b3-p4-c3,3,inoc_beech,cn_ratio,19.205981492114418
b3-p4-c4,3,inoc_beech,c_perc,4.853457353868761
b3-p4-c4,3,inoc_beech,n_perc,0.27750151963039926
b3-p4-c4,3,inoc_beech,cn_ratio,17.489840633424347
b3-p5-c1,3,inoc_beech,c_perc,5.672255415647553
b3-p5-c1,3,inoc_beech,n_perc,0.2922679709072536
b3-p5-c1,3,inoc_beech,cn_ratio,19.407721612600337
b3-p5-c2,3,inoc_beech,c_perc,
b3-p5-c2,3,inoc_beech,n_perc,
b3-p5-c2,3,inoc_beech,cn_ratio,
b3-p5-c3,3,inoc_robinia,c_perc,6.543704548907767
b3-p5-c3,3,inoc_robinia,n_perc,0.37188696415465267
b3-p5-c3,3,inoc_robinia,cn_ratio,17.595950328031684
b3-p5-c4,3,inoc_robinia,c_perc,7.750405888044925
b3-p5-c4,3,inoc_robinia,n_perc,0.413865994341404
b3-p5-c4,3,inoc_robinia,cn_ratio,18.726848772338382
b3-p6-c1,3,inoc_robinia,c_perc,6.69026399770182
b3-p6-c1,3,inoc_robinia,n_perc,0.3653975666540973
b3-p6-c1,3,inoc_robinia,cn_ratio,18.30954721172279
b3-p6-c2,3,inoc_robinia,c_perc,4.404251411747299
b3-p6-c2,3,inoc_robinia,n_perc,0.2673950770556434
b3-p6-c2,3,inoc_robinia,cn_ratio,16.47095174766736
b3-p6-c3,3,inoc_robinia,c_perc,6.596141501999977
b3-p6-c3,3,inoc_robinia,n_perc,0.3658711102573293
b3-p6-c3,3,inoc_robinia,cn_ratio,18.028593450192584
b3-p6-c4,3,inoc_robinia,c_perc,7.176544768928206
b3-p6-c4,3,inoc_robinia,n_perc,0.3844157129292218
b3-p6-c4,3,inoc_robinia,cn_ratio,18.668708191565376
