response,estimate,lower_95,upper_95,p_value
c_perc,0.08037326109571019,-0.4128037885881189,0.5886832333574926,0.7252747252747253
n_perc,0.003927343364060032,-0.021726807250127773,0.029717405851590016,0.7532467532467533
cn_ratio,-0.06323316850139449,-0.7132899149951288,0.6252571014701638,0.8531468531468531
