species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-06-18,culture,mixed - mono,-0.0436271732206037,-0.15764093375387483,0.06035011869097949,0.44155844155844154
fagus,2025-06-18,precipitation,drought - control,-0.0831836954580641,-0.2014753582928692,0.02486365772502768,0.14185814185814186
fagus,2025-06-18,robinia,with-robinia - without-robinia,0.01502279188811951,-0.10610291530507925,0.131959184248248,0.7272727272727273
fagus,2025-07-03,culture,mixed - mono,-0.04210384713054912,-0.39206941296760367,0.31352221647469736,0.7972027972027972
fagus,2025-07-03,precipitation,drought - control,-0.5983046680516743,-0.9741657374930178,-0.2556703674715365,0.00199800199800199
fagus,2025-07-03,robinia,with-robinia - without-robinia,-1.1375400576996255,-1.5151098811276649,-0.7667217347872841,0.00199800199800199
fagus,2025-07-17,culture,mixed - mono,-0.06887887319183475,-0.43196443152579705,0.2814555682291119,0.6773226773226774
fagus,2025-07-17,precipitation,drought - control,-0.6392693676102443,-1.004116491352827,-0.3242575127847141,0.00199800199800199
fagus,2025-07-17,robinia,with-robinia - without-robinia,-0.8859887657334999,-1.287758108332648,-0.5353993131092323,0.00199800199800199
fagus,2025-07-31,culture,mixed - mono,-0.09749497434354784,-0.4533145778052,0.23623544896821627,0.5554445554445554
fagus,2025-07-31,precipitation,drought - control,-0.5275837091635632,-0.877350913137208,-0.22300701429252975,0.00199800199800199
fagus,2025-07-31,robinia,with-robinia - without-robinia,-0.7822281411786064,-1.1472980483852,-0.4414028868768964,0.00199800199800199
fagus,2025-08-14,culture,mixed - mono,-0.28781118032389374,-0.6127550920478746,0.02638516325681702,0.08391608391608392
fagus,2025-08-14,precipitation,drought - control,-0.3250911891480095,-0.639886506945763,-0.04883805096960531,0.02597402597402597
fagus,2025-08-14,robinia,with-robinia - without-robinia,-0.6511803873704972,-0.9963929157754216,-0.348686850879935,0.00199800199800199
fagus,2025-08-29,culture,mixed - mono,-0.01344042712093628,-0.2706407789338014,0.26756630635059625,0.8971028971028971
fagus,2025-08-29,precipitation,drought - control,0.1387136622253617,-0.1308728739528751,0.438967405644038,0.33766233766233766
fagus,2025-08-29,robinia,with-robinia - without-robinia,-1.5281222710215745,-1.830140274720142,-1.2031441285397528,0.00199800199800199
fagus,2025-09-10,culture,mixed - mono,-0.0711404984298223,-0.35685275843150244,0.23048161743989795,0.6473526473526473
fagus,2025-09-10,precipitation,drought - control,0.23002959369912,-0.0616835849762043,0.551990187697185,0.1258741258741259
fagus,2025-09-10,robinia,with-robinia - without-robinia,-1.5017738677214632,-1.8259510122939957,-1.1833719199264974,0.00199800199800199
fagus,2025-09-25,culture,mixed - mono,-0.02439401313887879,-0.32075803587108864,0.2892937647162336,0.8851148851148851
fagus,2025-09-25,precipitation,drought - control,0.28911844702436423,0.02000901388450932,0.5891970025010438,0.04195804195804196
fagus,2025-09-25,robinia,with-robinia - without-robinia,-1.6005501942312077,-1.9071596774074184,-1.3060551262778062,0.00199800199800199
fagus,2025-10-07,culture,mixed - mono,-0.00138524728795847,-0.2439416094910581,0.25900357367349874,0.977022977022977
fagus,2025-10-07,precipitation,drought - control,0.21693335058549035,-0.0117337586839097,0.5005217652097164,0.06793206793206794
fagus,2025-10-07,robinia,with-robinia - without-robinia,-1.5259352524953234,-1.7799761275763226,-1.2548574896327562,0.00199800199800199
fagus,2025-10-20,culture,mixed - mono,-0.01247842562469365,-0.2558748492573311,0.2189466049364552,0.9090909090909092
fagus,2025-10-20,precipitation,drought - control,0.1426112363597594,-0.0974130168396067,0.4077396167342664,0.2517482517482518
fagus,2025-10-20,robinia,with-robinia - without-robinia,-1.5674357640937475,-1.8228917194304213,-1.3212076624041054,0.00199800199800199
fagus,2025-11-12,culture,mixed - mono,0.08445371060834564,-0.02236402605933837,0.2358890645951092,0.16383616383616384
fagus,2025-11-12,precipitation,drought - control,-0.04888549453487358,-0.16966804546344852,0.0639836194591334,0.3836163836163836
