species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-11-12,robinia,with-robinia - without-robinia,-0.09460061324237426,-0.2051302895607239,0.01592158054063106,0.10589410589410587
quercus,2025-06-18,culture,mixed - mono,0.1267267543992267,-0.14665171257978654,0.41187439215472543,0.3756243756243756
quercus,2025-06-18,precipitation,drought - control,0.12295424056816256,-0.1726053243293519,0.42238851140685296,0.4055944055944056
quercus,2025-06-18,robinia,with-robinia - without-robinia,-0.2463101472468058,-0.5498691603824258,0.04745653012290275,0.0979020979020979
quercus,2025-07-03,culture,mixed - mono,0.08305035838250922,-0.2503122726367869,0.4148248574211808,0.5994005994005994
quercus,2025-07-03,precipitation,drought - control,0.2627572741757928,-0.06822752039282112,0.5878113137455407,0.12987012987012986
quercus,2025-07-03,robinia,with-robinia - without-robinia,-0.6658594893572883,-0.999967953892561,-0.35136435215661155,0.00199800199800199
quercus,2025-07-17,culture,mixed - mono,-0.03456825653790878,-0.30744041949354417,0.24914399037982973,0.8311688311688312
quercus,2025-07-17,precipitation,drought - control,-0.20012662581282428,-0.47797009038813326,0.1201082919903748,0.1918081918081918
quercus,2025-07-17,robinia,with-robinia - without-robinia,-0.5325776756245306,-0.8469764359229076,-0.24900470508178,0.00199800199800199
quercus,2025-07-31,culture,mixed - mono,0.17892280863957136,-0.00937813095212177,0.3766622573623843,0.06993006993006994
quercus,2025-07-31,precipitation,drought - control,-0.24368907578334972,-0.4708779396321678,-0.00286544404727859,0.04795204795204795
quercus,2025-07-31,robinia,with-robinia - without-robinia,-0.15941313939814666,-0.4147842272979533,0.06411941966586031,0.18981018981018985
quercus,2025-08-14,culture,mixed - mono,0.215394308504231,-0.1262194379718251,0.5900955077107868,0.2077922077922078
quercus,2025-08-14,precipitation,drought - control,-0.1272011562444607,-0.5167547875212442,0.2300667633658341,0.5454545454545454
quercus,2025-08-14,robinia,with-robinia - without-robinia,-0.8824796882650456,-1.2248953851886304,-0.48770717703893984,0.00199800199800199
quercus,2025-08-29,culture,mixed - mono,0.13840184159455393,-0.13436038256016142,0.4043152812404462,0.32167832167832167
quercus,2025-08-29,precipitation,drought - control,0.24931164072412537,-0.03435034010764385,0.5868027965007823,0.08791208791208792
quercus,2025-08-29,robinia,with-robinia - without-robinia,-0.3006536462039894,-0.6168892422510085,0.0026603079972956,0.05794205794205794
quercus,2025-09-10,culture,mixed - mono,0.2316447677085271,0.02619935534500389,0.4458297614506743,0.02797202797202797
quercus,2025-09-10,precipitation,drought - control,0.35424718419437234,0.13215767714234597,0.6125782348570507,0.00999000999000999
quercus,2025-09-10,robinia,with-robinia - without-robinia,-0.1867777206472361,-0.46044969372531,0.05650448382249005,0.17582417582417584
quercus,2025-09-25,culture,mixed - mono,0.12751561164216085,-0.11014822360743978,0.3620553975681961,0.32367632367632365
quercus,2025-09-25,precipitation,drought - control,0.5533196919872423,0.3514463363022253,0.8420135925132296,0.00199800199800199
quercus,2025-09-25,robinia,with-robinia - without-robinia,-0.02578072244631057,-0.3663651979495427,0.22249338686247028,0.945054945054945
quercus,2025-10-07,culture,mixed - mono,0.12951404999090985,-0.2101193377713926,0.4734033654801834,0.4535464535464536
quercus,2025-10-07,precipitation,drought - control,0.44519365922337933,0.11158472617864636,0.8191404459570467,0.01598401598401598
quercus,2025-10-07,robinia,with-robinia - without-robinia,-0.35804739316716777,-0.756308757616784,-0.01654328495710412,0.03196803196803197
quercus,2025-10-20,culture,mixed - mono,0.3036411387463321,0.04316951880933249,0.5691515912258445,0.02597402597402597
quercus,2025-10-20,precipitation,drought - control,0.29790524688842923,-0.01398812161615113,0.6303443466265874,0.06993006993006994
quercus,2025-10-20,robinia,with-robinia - without-robinia,-0.0251846969738766,-0.35382366778493907,0.27685487048008683,0.9310689310689312
quercus,2025-11-12,culture,mixed - mono,0.08239297734673555,-0.30928752706815466,0.42653704686968674,0.6653346653346653
quercus,2025-11-12,precipitation,drought - control,0.3158911920271641,-0.00455219334431775,0.7090370872048939,0.05994005994005994
quercus,2025-11-12,robinia,with-robinia - without-robinia,-0.39216108638352304,-0.7959321650913022,-0.04860681296096197,0.02597402597402597
