species,treatment,estimate_days,lower_95,upper_95,p_value
fagus,precipitation,0.3257305964135206,-0.7979258091188816,1.4607538485670868,0.5714285714285714
fagus,robinia,0.9327693479774616,-0.19255159991847112,2.1118606738095047,0.12987012987012986
fagus,culture,-0.9976177144686688,-2.259871560761298,0.24756691630891323,0.1258741258741259
quercus,precipitation,-0.7195362724168901,-3.1825820964526947,1.8468168164128336,0.6013986013986014
quercus,robinia,-1.8617291144896304,-4.21176231276199,0.6572703709903218,0.15984015984015984
quercus,culture,1.8026884358045523,-0.39923205822094576,3.866832459877748,0.12387612387612389
