date,air_temperature_c,precipitation_mm
2025-03-01,2.8848841458333334,0
2025-03-02,2.5265624125694446,0
2025-03-03,3.531747588402778,0
2025-03-04,4.874826316180555,0
2025-03-05,6.626168998888889,0
2025-03-06,8.044849679166667,0
2025-03-07,8.169259006944444,0
2025-03-08,8.419316763888888,0
2025-03-09,10.1511804375,0
2025-03-10,8.421840187499999,0.2
2025-03-11,8.210185263888889,0
2025-03-12,6.108633916666666,4.100000000000001
2025-03-13,5.17350676388889,1.9
2025-03-14,3.725231361111111,0
2025-03-15,4.394259111111111,0.1
2025-03-16,3.204363375,5.799999999999996
2025-03-17,4.283344736111111,0
2025-03-18,3.336307753680555,0
2025-03-19,6.504953711111111,0
2025-03-20,9.578367277777778,0
2025-03-21,10.649664298611112,0
2025-03-22,14.056538972222222,0
2025-03-23,10.206978923611112,1.8
2025-03-24,10.039525375,4
2025-03-25,9.057847041666667,1.5
2025-03-26,8.560786854166667,8.399999999999997
2025-03-27,7.434756659722223,0
2025-03-28,8.014201020833333,0
2025-03-29,7.962592277777778,4.000000000000001
2025-03-30,9.326990520833332,0
2025-03-31,8.00199063888889,0
2025-04-01,6.0938885576388895,0
2025-04-02,10.376365854166666,0
2025-04-03,11.628136187500001,0
2025-04-04,12.68879586111111,0
2025-04-05,13.556538729166666,0
2025-04-06,8.132001854166667,0
2025-04-07,6.987187491666667,0
2025-04-08,7.936689605763889,0
2025-04-09,9.908784368055557,0
2025-04-10,10.485358520833334,0
2025-04-11,12.608564652777778,0
2025-04-12,13.845358541666666,0
2025-04-13,13.52712951388889,0.2
2025-04-14,14.738078194444444,2.4000000000000004
2025-04-15,13.425103798611111,0.1
2025-04-16,10.252002097222222,4.200000000000001
2025-04-17,7.557082854166667,6.299999999999998
2025-04-18,6.944721902777777,0
2025-04-19,11.413726631944447,0
2025-04-20,9.1551155625,0.5
2025-04-21,10.387210611111112,0
2025-04-22,12.804050694444443,0
2025-04-23,11.406018215277776,18.4
2025-04-24,9.613101756944443,4.400000000000001
2025-04-25,9.235173388888889,9.299999999999995
2025-04-26,11.161898034722222,0
2025-04-27,12.007129076388887,0
2025-04-28,14.981504229166667,0
2025-04-29,16.540034020833332,0
2025-04-30,16.855543305555553,0
2025-05-01,17.733321347222223,0
2025-05-02,19.76729131944445,0
2025-05-03,17.367395416666668,2.6
2025-05-04,12.849259104166666,16.60000000000001
2025-05-05,6.961550652777778,18.000000000000025
2025-05-06,7.675670861111112,1.9000000000000008
2025-05-07,8.887421888888888,0
2025-05-08,10.938587881944445,0
2025-05-09,10.124004680555556,0
2025-05-10,12.74532365972222,0
2025-05-11,15.728783986111113,0
2025-05-12,14.42681661111111,10.499999999999998
2025-05-13,13.98839051388889,0
2025-05-14,15.057580395833334,0
2025-05-15,15.763035416666666,0
2025-05-16,12.581228083333333,0
2025-05-17,13.815613423611111,0
2025-05-18,14.682175548611111,0
2025-05-19,16.748529569444443,0
2025-05-20,15.964999652777776,23.400000000000013
2025-05-21,13.080451291666668,15.599999999999994
2025-05-22,10.112476756944444,8.999999999999995
2025-05-23,11.572522944444446,0
2025-05-24,12.613807645833331,1
2025-05-25,14.009664006944444,0.30000000000000004
2025-05-26,13.56936347222222,4.1000000000000005
2025-05-27,14.227592430555555,0
2025-05-28,14.012303472222222,20.199999999999992
2025-05-29,15.903761319444444,0
2025-05-30,19.02269619444445,0
2025-05-31,21.774339722222223,2.5999999999999996
2025-06-01,20.164536666666667,8.3
2025-06-02,17.006978888888888,9.999999999999998
2025-06-03,18.294363194444443,0.5
2025-06-04,16.935207777777777,3.6
2025-06-05,16.933529583333332,0.7
2025-06-06,18.692603472222224,4.2
2025-06-07,15.566712777777775,19.20000000000001
2025-06-08,15.102846743055554,0.6000000000000001
2025-06-09,16.257325791666666,0
2025-06-10,18.020844069444443,0
2025-06-11,20.392545833333333,0
2025-06-12,22.013645208333337,0
2025-06-13,24.56111027777778,0
2025-06-14,25.491353541666665,0
2025-06-15,20.653691666666667,9.1
2025-06-16,18.529050833333333,0
2025-06-17,20.02726798611111,0
2025-06-18,20.879605694444443,0
2025-06-19,23.278981875,0
2025-06-20,23.224559305555555,0
2025-06-21,22.781376527777777,0
2025-06-22,24.729791180555555,0
2025-06-23,23.422522361111113,13.3
2025-06-24,22.227418194444443,0
2025-06-25,24.56519548611111,0
2025-06-26,20.721805069444446,4.799999999999998
2025-06-27,22.325439236111112,0
2025-06-28,24.082395069444445,0
2025-06-29,26.096144583333334,0
2025-06-30,25.50631854166667,0
2025-07-01,26.447893055555554,0
2025-07-02,27.023957638888888,0
2025-07-03,24.476735555555557,0
2025-07-04,22.28844798611111,7.9
2025-07-05,22.616295347222223,0
2025-07-06,19.693656805555555,0.5
2025-07-07,14.615995694444443,13.800000000000002
2025-07-08,12.749514097222225,9.099999999999998
2025-07-09,15.87453647222222,0
2025-07-10,17.563333506944446,0
2025-07-11,19.51297388888889,0
2025-07-12,19.989212291666668,0
2025-07-13,22.360057152777777,0
2025-07-14,19.330867291666667,11.286
2025-07-15,19.412325625,13.660000000000002
2025-07-16,18.899154375,0.7
2025-07-17,18.005300138888888,4.3
2025-07-18,20.039374375,0
2025-07-19,19.559374444444444,6.1
2025-07-20,20.13491875,15.6
2025-07-21,18.32471041666667,5.300000000000001
2025-07-22,18.476782222222223,2.8000000000000003
2025-07-23,19.428147847222224,3.4
2025-07-24,16.832927986111113,5.5
2025-07-25,17.043564375,1.9
2025-07-26,16.56371534722222,21.4
2025-07-27,16.71481451388889,9.6
2025-07-28,13.912673541666669,30.000000000000004
2025-07-29,15.439791458333334,0.8
2025-07-30,15.834004319444444,0.4
2025-07-31,17.723714791666666,6.8
2025-08-01,18.172905069444443,8.700000000000001
2025-08-02,14.035312569444445,24.800000000000015
2025-08-03,16.13504590277778,0
2025-08-04,17.730115208333334,0
2025-08-05,20.042580833333332,0
2025-08-06,18.162002152777777,0
2025-08-07,19.979293333333334,0
2025-08-08,22.85810118055555,0
2025-08-09,24.444039027777777,0
2025-08-10,24.42638798611111,0
2025-08-11,23.283853541666662,0
2025-08-12,25.222765833333337,0
2025-08-13,25.59745326388889,0
2025-08-14,25.307695902777777,0
2025-08-15,23.8213075,0.4
2025-08-16,23.666839791666668,0
2025-08-17,21.410508680555555,0
2025-08-18,20.421978541666665,0
2025-08-19,21.962325625,0
2025-08-20,19.28905,26.1
2025-08-21,15.8790275,44.900000000000034
2025-08-22,17.980126458333334,0
2025-08-23,15.65128451388889,0
2025-08-24,15.764953243055556,0
2025-08-25,17.160230819444443,0
2025-08-26,20.858981041666667,2.5000000000000004
2025-08-27,20.156631527777776,0.7999999999999999
2025-08-28,16.836481527777778,17.000000000000004
2025-08-29,17.028020625,3.0000000000000004
2025-08-30,15.680531875,7.1000000000000005
2025-08-31,17.718946180555555,0
2025-09-01,16.155567291666667,22.300000000000004
2025-09-02,15.058124305555555,0
2025-09-03,18.00922423611111,0
2025-09-04,17.076539375,24.4
2025-09-05,13.667997618055557,12.599999999999998
2025-09-06,14.64130723611111,0
2025-09-07,17.071921256944446,0
2025-09-08,17.486700902777777,0
2025-09-09,15.868784375,7.1000000000000005
2025-09-10,15.480335208333331,2.400000000000001
2025-09-11,15.344849027777778,0.6000000000000001
2025-09-12,13.548830784722222,1.8000000000000005
2025-09-13,14.758969416666668,1.5
2025-09-14,16.916029375,5.799999999999997
2025-09-15,19.85501111111111,0.4
2025-09-16,15.075694375,0
2025-09-17,15.226863194444444,0
2025-09-18,16.836145340277778,0
2025-09-19,17.88381902777778,0
2025-09-20,20.244745208333335,0
2025-09-21,18.452731597222225,14.9
2025-09-22,12.583761527777778,16.4
2025-09-23,10.317430770833331,7.099999999999996
2025-09-24,10.373078583333331,10.299999999999995
2025-09-25,10.584548291666668,0.1
2025-09-26,10.673159506944444,6.3999999999999995
2025-09-27,9.833286520833331,8.999999999999995
2025-09-28,11.327708131944444,0
2025-09-29,11.948599375,0
2025-09-30,11.20253476388889,0
2025-10-01,9.9343403125,0
2025-10-02,6.990057909722221,0
2025-10-03,8.018946430555555,0
2025-10-04,12.482245125,4.799999999999999
2025-10-05,8.736828263888889,3.8
2025-10-06,9.545485847222222,3.300000000000001
2025-10-07,12.074107993055556,0
2025-10-08,10.042129333333332,0
2025-10-09,12.317673895833334,0
2025-10-10,11.867835534722223,0
2025-10-11,10.233101576388888,0
2025-10-12,9.965775361111112,0
2025-10-13,9.7758679375,0
2025-10-14,9.485219416666666,0
2025-10-15,8.621944402777778,0
2025-10-16,8.684837805555555,0
2025-10-17,8.874108208333334,0
2025-10-18,7.516863256944444,0.30000000000000004
2025-10-19,8.512754270833332,0
2025-10-20,10.023344666666668,1.5000000000000002
2025-10-21,12.668043958333334,1.5
2025-10-22,13.071192152777778,20.800000000000004
2025-10-23,10.452187402777778,10.899999999999997
2025-10-24,7.837360729166667,3.2000000000000006
2025-10-25,8.000659333333333,13.599999999999994
2025-10-26,6.899015888888889,2.2000000000000006
2025-10-27,6.530601590277778,16.5
2025-10-28,9.708472236111112,1
2025-10-29,8.37358745138889,4.800000000000001
2025-10-30,10.026585548611113,0.7999999999999999
2025-10-31,10.7273839375,0.1
2025-11-01,10.56795126388889,3.6000000000000014
2025-11-02,9.244224236111112,18.500000000000007
2025-11-03,7.43843725,0
2025-11-04,6.230358819444445,0
2025-11-05,6.047476888888889,0
2025-11-06,3.488321576388889,0
2025-11-07,4.239293819444445,0
2025-11-08,4.069340027083333,0
2025-11-09,6.630288868055556,0.30000000000000004
2025-11-10,5.838124770833334,0
2025-11-11,7.899953277777778,0
2025-11-12,7.771967284722223,0
2025-11-13,11.018576027777778,0
2025-11-14,10.04999982638889,0
2025-11-15,12.000532069444445,0
2025-11-16,8.27826357638889,0
2025-11-17,5.425891033333333,8.9
2025-11-18,0.4543981157638887,0
2025-11-19,1.8622568645833335,0.2
2025-11-20,1.1790046120555555,3.5000000000000004
2025-11-21,-0.631736088888889,0.4
2025-11-22,-3.537638749305555,0
2025-11-23,-2.329988360486111,4.100000000000001
2025-11-24,3.698518381944445,29.500000000000018
2025-11-25,3.1587383125,8.699999999999992
2025-11-26,1.8289120201388889,6.699999999999996
2025-11-27,0.8924768015972222,0
2025-11-28,1.110532358819445,0.1
2025-11-29,3.8499998256944448,1.1
2025-11-30,3.9343054263888897,4
2025-12-01,2.98039346875,0.2
2025-12-02,2.025775389027778,0
2025-12-03,1.3460532125,0
2025-12-04,1.7546758541666667,0
2025-12-05,2.9829050078472226,3.700000000000002
2025-12-06,4.656689595138888,0.6000000000000001
