tree_id,boxlabel,species,robinia,precipitation,culture,metric,value
209,b2-p1-c3,fagus,with robinia,control,mixed,Root biomass (g),15.900000000000002
209,b2-p1-c3,fagus,with robinia,control,mixed,Shoot biomass (g),33.80000000000001
209,b2-p1-c3,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.47041420118343186
212,b2-p1-c3,fagus,with robinia,control,mixed,Root biomass (g),9
212,b2-p1-c3,fagus,with robinia,control,mixed,Shoot biomass (g),21.6
212,b2-p1-c3,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.41666666666666663
213,b2-p1-c3,fagus,with robinia,control,mixed,Root biomass (g),21.599999999999994
213,b2-p1-c3,fagus,with robinia,control,mixed,Shoot biomass (g),34.9
213,b2-p1-c3,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.6189111747851002
216,b2-p1-c3,fagus,with robinia,control,mixed,Root biomass (g),20.599999999999994
216,b2-p1-c3,fagus,with robinia,control,mixed,Shoot biomass (g),29.5
216,b2-p1-c3,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.6983050847457625
506,b3-p4-c4,fagus,with robinia,control,mixed,Root biomass (g),19.5
506,b3-p4-c4,fagus,with robinia,control,mixed,Shoot biomass (g),34.1
506,b3-p4-c4,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.5718475073313782
507,b3-p4-c4,fagus,with robinia,control,mixed,Root biomass (g),5.899999999999999
507,b3-p4-c4,fagus,with robinia,control,mixed,Shoot biomass (g),15.8
507,b3-p4-c4,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.3734177215189872
510,b3-p4-c4,fagus,with robinia,control,mixed,Root biomass (g),18.9
510,b3-p4-c4,fagus,with robinia,control,mixed,Shoot biomass (g),40.80000000000001
510,b3-p4-c4,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.4632352941176469
511,b3-p4-c4,fagus,with robinia,control,mixed,Root biomass (g),16.099999999999994
511,b3-p4-c4,fagus,with robinia,control,mixed,Shoot biomass (g),32.5
511,b3-p4-c4,fagus,with robinia,control,mixed,Root:shoot biomass (-),0.4953846153846152
193,b2-p1-c1,fagus,with robinia,control,mono,Root biomass (g),30.099999999999994
193,b2-p1-c1,fagus,with robinia,control,mono,Shoot biomass (g),37.80000000000001
193,b2-p1-c1,fagus,with robinia,control,mono,Root:shoot biomass (-),0.796296296296296
196,b2-p1-c1,fagus,with robinia,control,mono,Root biomass (g),18.9
196,b2-p1-c1,fagus,with robinia,control,mono,Shoot biomass (g),19.9
196,b2-p1-c1,fagus,with robinia,control,mono,Root:shoot biomass (-),0.949748743718593
197,b2-p1-c1,fagus,with robinia,control,mono,Root biomass (g),38.2
197,b2-p1-c1,fagus,with robinia,control,mono,Shoot biomass (g),50.9
197,b2-p1-c1,fagus,with robinia,control,mono,Root:shoot biomass (-),0.75049115913556
200,b2-p1-c1,fagus,with robinia,control,mono,Root biomass (g),50.7
200,b2-p1-c1,fagus,with robinia,control,mono,Shoot biomass (g),63.800000000000004
200,b2-p1-c1,fagus,with robinia,control,mono,Root:shoot biomass (-),0.7946708463949843
521,b3-p5-c2,fagus,with robinia,control,mono,Root biomass (g),16.7
521,b3-p5-c2,fagus,with robinia,control,mono,Shoot biomass (g),35.1
521,b3-p5-c2,fagus,with robinia,control,mono,Root:shoot biomass (-),0.47578347578347574
524,b3-p5-c2,fagus,with robinia,control,mono,Root biomass (g),17.2
524,b3-p5-c2,fagus,with robinia,control,mono,Shoot biomass (g),44.3
524,b3-p5-c2,fagus,with robinia,control,mono,Root:shoot biomass (-),0.38826185101580135
525,b3-p5-c2,fagus,with robinia,control,mono,Root biomass (g),11.8
525,b3-p5-c2,fagus,with robinia,control,mono,Shoot biomass (g),27.199999999999996
525,b3-p5-c2,fagus,with robinia,control,mono,Root:shoot biomass (-),0.4338235294117648
528,b3-p5-c2,fagus,with robinia,control,mono,Root biomass (g),23.8
528,b3-p5-c2,fagus,with robinia,control,mono,Shoot biomass (g),70.4
528,b3-p5-c2,fagus,with robinia,control,mono,Root:shoot biomass (-),0.3380681818181818
297,b2-p4-c2,fagus,with robinia,drought,mixed,Root biomass (g),19.8
297,b2-p4-c2,fagus,with robinia,drought,mixed,Shoot biomass (g),31.799999999999994
297,b2-p4-c2,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.6226415094339625
300,b2-p4-c2,fagus,with robinia,drought,mixed,Root biomass (g),6.899999999999999
300,b2-p4-c2,fagus,with robinia,drought,mixed,Shoot biomass (g),14.4
300,b2-p4-c2,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.4791666666666666
301,b2-p4-c2,fagus,with robinia,drought,mixed,Root biomass (g),10.8
301,b2-p4-c2,fagus,with robinia,drought,mixed,Shoot biomass (g),19.9
301,b2-p4-c2,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.5427135678391961
304,b2-p4-c2,fagus,with robinia,drought,mixed,Root biomass (g),39.60000000000001
304,b2-p4-c2,fagus,with robinia,drought,mixed,Shoot biomass (g),14.200000000000001
304,b2-p4-c2,fagus,with robinia,drought,mixed,Root:shoot biomass (-),2.7887323943661975
409,b3-p1-c4,fagus,with robinia,drought,mixed,Root biomass (g),13.8
409,b3-p1-c4,fagus,with robinia,drought,mixed,Shoot biomass (g),24.5
409,b3-p1-c4,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.563265306122449
412,b3-p1-c4,fagus,with robinia,drought,mixed,Root biomass (g),16.099999999999994
412,b3-p1-c4,fagus,with robinia,drought,mixed,Shoot biomass (g),23.9
412,b3-p1-c4,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.6736401673640166
413,b3-p1-c4,fagus,with robinia,drought,mixed,Root biomass (g),39.30000000000001
413,b3-p1-c4,fagus,with robinia,drought,mixed,Shoot biomass (g),41.6
413,b3-p1-c4,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.9447115384615387
416,b3-p1-c4,fagus,with robinia,drought,mixed,Root biomass (g),21.8
416,b3-p1-c4,fagus,with robinia,drought,mixed,Shoot biomass (g),29.699999999999996
416,b3-p1-c4,fagus,with robinia,drought,mixed,Root:shoot biomass (-),0.7340067340067341
345,b2-p5-c4,fagus,with robinia,drought,mono,Root biomass (g),8.900000000000002
345,b2-p5-c4,fagus,with robinia,drought,mono,Shoot biomass (g),13.200000000000001
345,b2-p5-c4,fagus,with robinia,drought,mono,Root:shoot biomass (-),0.6742424242424243
348,b2-p5-c4,fagus,with robinia,drought,mono,Root biomass (g),25.3
348,b2-p5-c4,fagus,with robinia,drought,mono,Shoot biomass (g),45.6
348,b2-p5-c4,fagus,with robinia,drought,mono,Root:shoot biomass (-),0.5548245614035088
349,b2-p5-c4,fagus,with robinia,drought,mono,Root biomass (g),16.2
349,b2-p5-c4,fagus,with robinia,drought,mono,Shoot biomass (g),18.4
349,b2-p5-c4,fagus,with robinia,drought,mono,Root:shoot biomass (-),0.8804347826086957
