boxlabel,date,swc
b1-p2-c3,2025-10-21,2.2
b1-p2-c4,2024-09-19,24.6
b1-p2-c4,2024-10-17,25.7
b1-p2-c4,2024-11-12,25.9
b1-p2-c4,2024-11-13,22.6
b1-p2-c4,2025-01-30,25.6
b1-p2-c4,2025-03-04,24.3
b1-p2-c4,2025-04-02,15.2
b1-p2-c4,2025-04-11,12.7
b1-p2-c4,2025-04-28,18.9
b1-p2-c4,2025-05-12,17.1
b1-p2-c4,2025-05-26,23.1
b1-p2-c4,2025-06-06,21.7
b1-p2-c4,2025-06-20,11.2
b1-p2-c4,2025-07-02,7.8
b1-p2-c4,2025-07-03,8.8
b1-p2-c4,2025-07-17,11.1
b1-p2-c4,2025-07-31,21.2
b1-p2-c4,2025-08-14,5.7
b1-p2-c4,2025-08-28,12.5
b1-p2-c4,2025-09-10,18.9
b1-p2-c4,2025-09-23,20.3
b1-p2-c4,2025-10-07,18.5
b1-p2-c4,2025-10-21,11.4
b1-p3-c1,2024-09-19,20.4
b1-p3-c1,2024-10-17,19.1
b1-p3-c1,2024-11-12,22.4
b1-p3-c1,2024-11-13,18.8
b1-p3-c1,2025-01-30,20
b1-p3-c1,2025-03-04,20.4
b1-p3-c1,2025-04-02,10.5
b1-p3-c1,2025-04-11,9
b1-p3-c1,2025-04-28,12.6
b1-p3-c1,2025-05-12,10.5
b1-p3-c1,2025-05-26,16.1
b1-p3-c1,2025-06-06,13.3
b1-p3-c1,2025-06-20,8.4
b1-p3-c1,2025-07-02,4.7
b1-p3-c1,2025-07-03,6
b1-p3-c1,2025-07-17,7.6
b1-p3-c1,2025-07-31,17.1
b1-p3-c1,2025-08-14,4.6
b1-p3-c1,2025-08-28,7.4
b1-p3-c1,2025-09-10,15.4
b1-p3-c1,2025-09-23,17.3
b1-p3-c1,2025-10-07,13.9
b1-p3-c1,2025-10-21,9.4
b1-p3-c2,2024-09-19,17.3
b1-p3-c2,2024-10-17,17.1
b1-p3-c2,2024-11-12,20.5
b1-p3-c2,2024-11-13,17.6
b1-p3-c2,2025-01-30,20
b1-p3-c2,2025-03-04,16.6
b1-p3-c2,2025-04-02,9.5
b1-p3-c2,2025-04-11,7.3
b1-p3-c2,2025-04-28,12.9
b1-p3-c2,2025-05-12,8.8
b1-p3-c2,2025-05-26,14.9
b1-p3-c2,2025-06-06,10.8
b1-p3-c2,2025-06-20,3.2
b1-p3-c2,2025-07-02,1.4
b1-p3-c2,2025-07-03,3.3
b1-p3-c2,2025-07-17,5.1
b1-p3-c2,2025-07-31,14.8
b1-p3-c2,2025-08-14,2
b1-p3-c2,2025-08-28,6.9
b1-p3-c2,2025-09-10,11.9
b1-p3-c2,2025-09-23,14.1
b1-p3-c2,2025-10-07,11.3
b1-p3-c2,2025-10-21,4.8
b1-p3-c3,2024-09-19,16.2
b1-p3-c3,2024-10-17,18.2
b1-p3-c3,2024-11-12,19.3
b1-p3-c3,2024-11-13,15.5
b1-p3-c3,2025-01-30,20.3
b1-p3-c3,2025-03-04,16.2
b1-p3-c3,2025-04-02,12.2
b1-p3-c3,2025-04-11,9.9
b1-p3-c3,2025-04-28,13.5
b1-p3-c3,2025-05-12,8.5
b1-p3-c3,2025-05-26,8
b1-p3-c3,2025-06-06,1.9
b1-p3-c3,2025-06-20,0.9
b1-p3-c3,2025-07-02,0
b1-p3-c3,2025-07-03,3.3
b1-p3-c3,2025-07-17,3.9
b1-p3-c3,2025-07-31,14
b1-p3-c3,2025-08-14,1.3
b1-p3-c3,2025-08-28,8.8
b1-p3-c3,2025-09-10,12.8
b1-p3-c3,2025-09-23,14.9
b1-p3-c3,2025-10-07,9.3
b1-p3-c3,2025-10-21,3.2
b1-p3-c4,2024-09-19,15.1
b1-p3-c4,2024-10-17,14.9
b1-p3-c4,2024-11-12,16.1
b1-p3-c4,2024-11-13,14
b1-p3-c4,2025-01-30,19.7
b1-p3-c4,2025-03-04,16.6
b1-p3-c4,2025-04-02,10.6
b1-p3-c4,2025-04-11,9.2
b1-p3-c4,2025-04-28,14.5
b1-p3-c4,2025-05-12,7.2
b1-p3-c4,2025-05-26,6.1
b1-p3-c4,2025-06-06,1.5
b1-p3-c4,2025-06-20,0
b1-p3-c4,2025-07-02,0.5
b1-p3-c4,2025-07-03,2.2
b1-p3-c4,2025-07-17,6.6
b1-p3-c4,2025-07-31,14.9
b1-p3-c4,2025-08-14,0.6
b1-p3-c4,2025-08-28,10
b1-p3-c4,2025-09-10,12
b1-p3-c4,2025-09-23,15.5
b1-p3-c4,2025-10-07,7.5
b1-p3-c4,2025-10-21,1.4
b1-p4-c1,2024-09-19,22.2
b1-p4-c1,2024-10-17,24.4
b1-p4-c1,2024-11-12,24.1
b1-p4-c1,2024-11-13,25.1
b1-p4-c1,2025-01-30,24.7
b1-p4-c1,2025-03-04,25.6
b1-p4-c1,2025-04-02,19.4
b1-p4-c1,2025-04-11,12.5
b1-p4-c1,2025-04-28,20
b1-p4-c1,2025-05-12,14.6
b1-p4-c1,2025-05-26,25.8
b1-p4-c1,2025-06-06,22.5
b1-p4-c1,2025-06-20,9.9
b1-p4-c1,2025-07-02,4.9
b1-p4-c1,2025-07-03,7.5
b1-p4-c1,2025-07-17,15.7
b1-p4-c1,2025-07-31,25.8
b1-p4-c1,2025-08-14,7
b1-p4-c1,2025-08-28,17.4
b1-p4-c1,2025-09-10,21.4
b1-p4-c1,2025-09-23,24.2
b1-p4-c1,2025-10-07,20.3
b1-p4-c1,2025-10-21,18.3
b1-p4-c2,2024-09-19,18.8
b1-p4-c2,2024-10-17,22.6
b1-p4-c2,2024-11-12,20.5
b1-p4-c2,2024-11-13,21.7
b1-p4-c2,2025-01-30,22.8
b1-p4-c2,2025-03-04,21.6
b1-p4-c2,2025-04-02,16.7
b1-p4-c2,2025-04-11,11.3
b1-p4-c2,2025-04-28,18
b1-p4-c2,2025-05-12,11.1
b1-p4-c2,2025-05-26,22.2
b1-p4-c2,2025-06-06,14.9
b1-p4-c2,2025-06-20,1.7
b1-p4-c2,2025-07-02,2.3
b1-p4-c2,2025-07-03,6.6
b1-p4-c2,2025-07-17,7.2
b1-p4-c2,2025-07-31,20.5
b1-p4-c2,2025-08-14,1.9
b1-p4-c2,2025-08-28,20
b1-p4-c2,2025-09-10,18.7
b1-p4-c2,2025-09-23,21.7
b1-p4-c2,2025-10-07,17.1
b1-p4-c2,2025-10-21,11.3
b1-p4-c3,2024-09-19,24
b1-p4-c3,2024-10-17,25.9
b1-p4-c3,2024-11-12,25.5
b1-p4-c3,2024-11-13,24.9
b1-p4-c3,2025-01-30,26
b1-p4-c3,2025-03-04,21.4
b1-p4-c3,2025-04-02,19
b1-p4-c3,2025-04-11,12.2
b1-p4-c3,2025-04-28,19.3
b1-p4-c3,2025-05-12,13.8
b1-p4-c3,2025-05-26,25.2
b1-p4-c3,2025-06-06,22.5
b1-p4-c3,2025-06-20,7.4
b1-p4-c3,2025-07-02,2.5
b1-p4-c3,2025-07-03,7
b1-p4-c3,2025-07-17,8.4
b1-p4-c3,2025-07-31,20.7
b1-p4-c3,2025-08-14,1.6
b1-p4-c3,2025-08-28,20.1
b1-p4-c3,2025-09-10,17.8
