tree_id,treelabel,species,boxlabel
118,b1-p4-c3-b3,quercus,b1-p4-c3
119,b1-p4-c3-a4,quercus,b1-p4-c3
120,b1-p4-c3-b4,quercus,b1-p4-c3
121,b1-p4-c4-a1,fagus,b1-p4-c4
122,b1-p4-c4-b1,quercus,b1-p4-c4
123,b1-p4-c4-a2,quercus,b1-p4-c4
124,b1-p4-c4-b2,fagus,b1-p4-c4
125,b1-p4-c4-a3,fagus,b1-p4-c4
126,b1-p4-c4-b3,quercus,b1-p4-c4
127,b1-p4-c4-a4,quercus,b1-p4-c4
128,b1-p4-c4-b4,fagus,b1-p4-c4
129,b1-p5-c1-a1,quercus,b1-p5-c1
130,b1-p5-c1-b1,quercus,b1-p5-c1
131,b1-p5-c1-a2,quercus,b1-p5-c1
132,b1-p5-c1-b2,quercus,b1-p5-c1
133,b1-p5-c1-a3,quercus,b1-p5-c1
134,b1-p5-c1-b3,quercus,b1-p5-c1
135,b1-p5-c1-a4,quercus,b1-p5-c1
136,b1-p5-c1-b4,quercus,b1-p5-c1
137,b1-p5-c2-a1,fagus,b1-p5-c2
138,b1-p5-c2-b1,quercus,b1-p5-c2
139,b1-p5-c2-a2,quercus,b1-p5-c2
140,b1-p5-c2-b2,fagus,b1-p5-c2
141,b1-p5-c2-a3,fagus,b1-p5-c2
142,b1-p5-c2-b3,quercus,b1-p5-c2
143,b1-p5-c2-a4,quercus,b1-p5-c2
144,b1-p5-c2-b4,fagus,b1-p5-c2
145,b1-p5-c3-a1,fagus,b1-p5-c3
146,b1-p5-c3-b1,fagus,b1-p5-c3
147,b1-p5-c3-a2,fagus,b1-p5-c3
148,b1-p5-c3-b2,fagus,b1-p5-c3
149,b1-p5-c3-a3,fagus,b1-p5-c3
150,b1-p5-c3-b3,fagus,b1-p5-c3
151,b1-p5-c3-a4,fagus,b1-p5-c3
152,b1-p5-c3-b4,fagus,b1-p5-c3
153,b1-p5-c4-a1,quercus,b1-p5-c4
154,b1-p5-c4-b1,quercus,b1-p5-c4
155,b1-p5-c4-a2,quercus,b1-p5-c4
156,b1-p5-c4-b2,quercus,b1-p5-c4
157,b1-p5-c4-a3,quercus,b1-p5-c4
158,b1-p5-c4-b3,quercus,b1-p5-c4
159,b1-p5-c4-a4,quercus,b1-p5-c4
160,b1-p5-c4-b4,quercus,b1-p5-c4
161,b1-p6-c1-a1,fagus,b1-p6-c1
162,b1-p6-c1-b1,fagus,b1-p6-c1
163,b1-p6-c1-a2,fagus,b1-p6-c1
164,b1-p6-c1-b2,fagus,b1-p6-c1
165,b1-p6-c1-a3,fagus,b1-p6-c1
166,b1-p6-c1-b3,fagus,b1-p6-c1
167,b1-p6-c1-a4,fagus,b1-p6-c1
168,b1-p6-c1-b4,fagus,b1-p6-c1
169,b1-p6-c2-a1,quercus,b1-p6-c2
170,b1-p6-c2-b1,quercus,b1-p6-c2
171,b1-p6-c2-a2,quercus,b1-p6-c2
172,b1-p6-c2-b2,quercus,b1-p6-c2
173,b1-p6-c2-a3,quercus,b1-p6-c2
174,b1-p6-c2-b3,quercus,b1-p6-c2
175,b1-p6-c2-a4,quercus,b1-p6-c2
176,b1-p6-c2-b4,quercus,b1-p6-c2
177,b1-p6-c3-a1,fagus,b1-p6-c3
178,b1-p6-c3-b1,quercus,b1-p6-c3
179,b1-p6-c3-a2,quercus,b1-p6-c3
180,b1-p6-c3-b2,fagus,b1-p6-c3
181,b1-p6-c3-a3,fagus,b1-p6-c3
182,b1-p6-c3-b3,quercus,b1-p6-c3
183,b1-p6-c3-a4,quercus,b1-p6-c3
184,b1-p6-c3-b4,fagus,b1-p6-c3
185,b1-p6-c4-a1,quercus,b1-p6-c4
186,b1-p6-c4-b1,quercus,b1-p6-c4
187,b1-p6-c4-a2,quercus,b1-p6-c4
188,b1-p6-c4-b2,quercus,b1-p6-c4
189,b1-p6-c4-a3,quercus,b1-p6-c4
190,b1-p6-c4-b3,quercus,b1-p6-c4
191,b1-p6-c4-a4,quercus,b1-p6-c4
192,b1-p6-c4-b4,quercus,b1-p6-c4
193,b2-p1-c1-a1,fagus,b2-p1-c1
194,b2-p1-c1-b1,fagus,b2-p1-c1
195,b2-p1-c1-a2,fagus,b2-p1-c1
196,b2-p1-c1-b2,fagus,b2-p1-c1
197,b2-p1-c1-a3,fagus,b2-p1-c1
198,b2-p1-c1-b3,fagus,b2-p1-c1
199,b2-p1-c1-a4,fagus,b2-p1-c1
200,b2-p1-c1-b4,fagus,b2-p1-c1
201,b2-p1-c2-a1,fagus,b2-p1-c2
202,b2-p1-c2-b1,fagus,b2-p1-c2
203,b2-p1-c2-a2,fagus,b2-p1-c2
204,b2-p1-c2-b2,fagus,b2-p1-c2
205,b2-p1-c2-a3,fagus,b2-p1-c2
206,b2-p1-c2-b3,fagus,b2-p1-c2
207,b2-p1-c2-a4,fagus,b2-p1-c2
208,b2-p1-c2-b4,fagus,b2-p1-c2
209,b2-p1-c3-a1,fagus,b2-p1-c3
210,b2-p1-c3-b1,quercus,b2-p1-c3
211,b2-p1-c3-a2,quercus,b2-p1-c3
212,b2-p1-c3-b2,fagus,b2-p1-c3
213,b2-p1-c3-a3,fagus,b2-p1-c3
214,b2-p1-c3-b3,quercus,b2-p1-c3
215,b2-p1-c3-a4,quercus,b2-p1-c3
216,b2-p1-c3-b4,fagus,b2-p1-c3
217,b2-p1-c4-a1,fagus,b2-p1-c4
218,b2-p1-c4-b1,quercus,b2-p1-c4
219,b2-p1-c4-a2,quercus,b2-p1-c4
220,b2-p1-c4-b2,fagus,b2-p1-c4
221,b2-p1-c4-a3,fagus,b2-p1-c4
222,b2-p1-c4-b3,quercus,b2-p1-c4
223,b2-p1-c4-a4,quercus,b2-p1-c4
224,b2-p1-c4-b4,fagus,b2-p1-c4
225,b2-p2-c1-a1,fagus,b2-p2-c1
226,b2-p2-c1-b1,fagus,b2-p2-c1
227,b2-p2-c1-a2,fagus,b2-p2-c1
228,b2-p2-c1-b2,fagus,b2-p2-c1
229,b2-p2-c1-a3,fagus,b2-p2-c1
230,b2-p2-c1-b3,fagus,b2-p2-c1
231,b2-p2-c1-a4,fagus,b2-p2-c1
232,b2-p2-c1-b4,fagus,b2-p2-c1
233,b2-p2-c2-a1,fagus,b2-p2-c2
234,b2-p2-c2-b1,quercus,b2-p2-c2
235,b2-p2-c2-a2,quercus,b2-p2-c2
236,b2-p2-c2-b2,fagus,b2-p2-c2
237,b2-p2-c2-a3,fagus,b2-p2-c2
238,b2-p2-c2-b3,quercus,b2-p2-c2
239,b2-p2-c2-a4,quercus,b2-p2-c2
240,b2-p2-c2-b4,fagus,b2-p2-c2
241,b2-p2-c3-a1,fagus,b2-p2-c3
242,b2-p2-c3-b1,quercus,b2-p2-c3
243,b2-p2-c3-a2,quercus,b2-p2-c3
244,b2-p2-c3-b2,fagus,b2-p2-c3
245,b2-p2-c3-a3,fagus,b2-p2-c3
246,b2-p2-c3-b3,quercus,b2-p2-c3
247,b2-p2-c3-a4,quercus,b2-p2-c3
248,b2-p2-c3-b4,fagus,b2-p2-c3
249,b2-p2-c4-a1,quercus,b2-p2-c4
250,b2-p2-c4-b1,quercus,b2-p2-c4
251,b2-p2-c4-a2,quercus,b2-p2-c4
252,b2-p2-c4-b2,quercus,b2-p2-c4
253,b2-p2-c4-a3,quercus,b2-p2-c4
254,b2-p2-c4-b3,quercus,b2-p2-c4
255,b2-p2-c4-a4,quercus,b2-p2-c4
256,b2-p2-c4-b4,quercus,b2-p2-c4
257,b2-p3-c1-a1,quercus,b2-p3-c1
258,b2-p3-c1-b1,quercus,b2-p3-c1
259,b2-p3-c1-a2,quercus,b2-p3-c1
260,b2-p3-c1-b2,quercus,b2-p3-c1
261,b2-p3-c1-a3,quercus,b2-p3-c1
262,b2-p3-c1-b3,quercus,b2-p3-c1
