tree_id,stage,stage_label,stage_date_raw,stage_date,doy,stage_order_conflict_nulled,stage_date_source
117,2,Stage 2,2025-05-02,2025-05-02,122,FALSE,retained
117,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
117,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
118,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
118,2,Stage 2,2025-04-29,2025-04-29,119,FALSE,retained
118,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
118,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
119,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
119,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
119,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
119,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
12,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
12,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
12,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
12,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
120,1,Stage 1,2025-04-04,2025-04-04,94,FALSE,retained
120,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
120,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
120,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
121,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
121,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
121,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
121,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
122,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
122,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
122,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
122,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
123,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
123,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
123,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
123,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
124,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
124,2,Stage 2,NA,NA,NA,FALSE,missing_raw
124,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
124,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
125,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
125,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
125,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
125,4,Stage 4,2025-04-25,2025-04-25,115,FALSE,retained
126,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
126,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
126,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
126,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
127,1,Stage 1,2025-04-01,2025-04-01,91,FALSE,retained
127,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
127,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
127,4,Stage 4,2025-04-25,2025-04-25,115,FALSE,retained
128,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
128,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
128,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
128,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
129,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
129,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
129,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
129,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
13,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
13,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
13,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
13,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
130,1,Stage 1,2025-04-29,2025-04-29,119,FALSE,retained
130,2,Stage 2,2025-05-06,2025-05-06,126,FALSE,retained
130,3,Stage 3,2025-05-13,2025-05-13,133,FALSE,retained
130,4,Stage 4,2025-05-16,2025-05-16,136,FALSE,retained
131,1,Stage 1,2025-05-06,2025-05-06,126,FALSE,retained
131,2,Stage 2,2025-05-16,2025-05-16,136,FALSE,retained
131,3,Stage 3,2025-05-20,2025-05-20,140,FALSE,retained
131,4,Stage 4,2025-05-23,2025-05-23,143,FALSE,retained
132,1,Stage 1,2025-05-02,2025-05-02,122,FALSE,retained
132,2,Stage 2,2025-05-13,2025-05-13,133,FALSE,retained
132,3,Stage 3,2025-05-20,2025-05-20,140,FALSE,retained
132,4,Stage 4,2025-05-23,2025-05-23,143,FALSE,retained
133,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
133,2,Stage 2,NA,NA,NA,FALSE,missing_raw
133,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
133,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
134,1,Stage 1,2025-04-29,2025-04-29,119,FALSE,retained
134,2,Stage 2,2025-05-02,2025-05-02,122,FALSE,retained
134,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
134,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
135,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
135,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
135,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
135,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
136,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
136,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
136,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
136,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
137,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
137,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
137,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
137,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
138,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
138,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
138,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
138,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
139,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
139,2,Stage 2,2025-05-02,2025-05-02,122,FALSE,retained
139,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
139,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
14,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
14,2,Stage 2,NA,NA,NA,FALSE,missing_raw
14,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
14,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
140,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
140,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
140,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
140,4,Stage 4,2025-04-23,2025-04-23,113,FALSE,retained
141,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
141,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
141,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
141,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
142,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
142,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
142,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
142,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
143,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
143,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
143,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
143,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
144,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
144,2,Stage 2,NA,NA,NA,FALSE,missing_raw
144,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
144,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
145,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
145,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
