tree_id,date,qy
38,2025-07-03,0.6
38,2025-07-17,0.75
38,2025-07-31,0.7799999999999999
38,2025-08-14,0.29000000000000004
38,2025-08-29,0.75
38,2025-09-10,0.8
38,2025-09-25,0.77
38,2025-10-07,0.73
38,2025-10-20,0.74
43,2025-06-18,0.7899999999999999
43,2025-07-03,0.71
43,2025-07-17,0.7899999999999999
43,2025-07-31,0.81
43,2025-08-14,0.76
43,2025-08-29,0.8200000000000001
43,2025-09-10,0.81
43,2025-09-25,0.7899999999999999
43,2025-10-07,0.8
43,2025-10-20,0.72
44,2025-06-18,0.61
44,2025-07-03,0.75
44,2025-07-17,0.73
44,2025-07-31,0.81
44,2025-08-14,0.81
44,2025-08-29,0.7799999999999999
44,2025-09-10,0.81
44,2025-09-25,0.7799999999999999
44,2025-10-07,0.76
44,2025-10-20,0.76
45,2025-06-18,0.7799999999999999
45,2025-07-03,0.74
45,2025-07-17,0.81
45,2025-07-31,0.8200000000000001
45,2025-08-14,0.72
45,2025-08-29,0.7799999999999999
45,2025-09-10,0.7899999999999999
45,2025-09-25,0.7899999999999999
45,2025-10-07,0.47000000000000003
45,2025-10-20,0.8
46,2025-06-18,0.75
46,2025-07-03,0.71
46,2025-07-17,0.58
46,2025-07-31,0.54
46,2025-08-14,0.71
46,2025-08-29,0.7899999999999999
46,2025-09-10,0.8200000000000001
46,2025-09-25,0.7799999999999999
46,2025-10-07,0.63
46,2025-10-20,0.74
51,2025-06-18,0.77
51,2025-07-03,0.5700000000000001
51,2025-07-17,0.64
51,2025-07-31,0.77
51,2025-08-14,0.7899999999999999
51,2025-08-29,0.77
51,2025-09-10,0.7799999999999999
51,2025-09-25,0.8200000000000001
51,2025-10-07,0.74
51,2025-10-20,0.73
52,2025-06-18,0.61
52,2025-07-03,0.02
52,2025-07-17,0.75
52,2025-07-31,0
52,2025-08-14,0.7899999999999999
52,2025-08-29,NA
52,2025-09-10,0
52,2025-09-25,0.6699999999999999
52,2025-10-07,0.72
52,2025-10-20,0.7
53,2025-06-18,0.7899999999999999
53,2025-07-03,0.47000000000000003
53,2025-07-17,0.69
53,2025-07-31,0.7799999999999999
53,2025-08-14,0.73
53,2025-08-29,NA
53,2025-09-10,0
53,2025-09-25,0
53,2025-10-07,0
53,2025-10-20,0
54,2025-06-18,0.69
54,2025-07-03,0.42000000000000004
54,2025-07-17,0.55
54,2025-07-31,0.56
54,2025-08-14,0.65
54,2025-08-29,0.76
54,2025-09-10,0.75
54,2025-09-25,0.8
54,2025-10-07,0.6599999999999999
54,2025-10-20,0.5700000000000001
59,2025-06-18,0.8200000000000001
59,2025-07-03,0.7
59,2025-07-17,0.8200000000000001
59,2025-07-31,0.7899999999999999
59,2025-08-14,0.8
59,2025-08-29,0.8
59,2025-09-10,0.81
59,2025-09-25,0.73
59,2025-10-07,0.71
59,2025-10-20,0.76
60,2025-06-18,0.81
60,2025-07-03,0.72
60,2025-07-17,0.81
60,2025-07-31,0.81
60,2025-08-14,0.8200000000000001
60,2025-08-29,0.8
60,2025-09-10,0.8200000000000001
60,2025-09-25,0.76
60,2025-10-07,0.71
60,2025-10-20,0.72
61,2025-06-18,0.7899999999999999
61,2025-07-03,0.8
61,2025-07-17,0.7799999999999999
61,2025-07-31,0.7799999999999999
61,2025-08-14,0.77
61,2025-08-29,0.8
61,2025-09-10,0.8200000000000001
61,2025-09-25,0.77
61,2025-10-07,0.77
61,2025-10-20,0.7799999999999999
62,2025-06-18,0.8300000000000001
62,2025-07-03,0.6599999999999999
62,2025-07-17,0.7799999999999999
62,2025-07-31,0.77
62,2025-08-14,0.7899999999999999
62,2025-08-29,0.8200000000000001
62,2025-09-10,0.8
62,2025-09-25,0.7799999999999999
62,2025-10-07,0.6799999999999999
62,2025-10-20,0.8
67,2025-06-18,0.71
67,2025-07-03,0.71
67,2025-07-17,0.76
67,2025-07-31,0.71
67,2025-08-14,0.7799999999999999
67,2025-08-29,0.75
67,2025-09-10,0.8500000000000001
67,2025-09-25,0.76
67,2025-10-07,0.71
67,2025-10-20,0.71
68,2025-06-18,0.77
68,2025-07-03,0.7799999999999999
68,2025-07-17,0.8
68,2025-07-31,0.8
68,2025-08-14,0.6599999999999999
68,2025-08-29,0.71
68,2025-09-10,0.81
68,2025-09-25,0.77
68,2025-10-07,0.74
68,2025-10-20,0.77
69,2025-06-18,0.7899999999999999
69,2025-07-03,0.6799999999999999
69,2025-07-17,0.73
69,2025-07-31,0.74
69,2025-08-14,0.7
69,2025-08-29,0.72
69,2025-09-10,0.7899999999999999
69,2025-09-25,0.8
69,2025-10-07,0.72
69,2025-10-20,0.64
70,2025-06-18,0.6699999999999999
70,2025-07-03,0.73
70,2025-07-17,0.72
70,2025-07-31,0.77
70,2025-08-14,0.74
70,2025-08-29,0.69
70,2025-09-10,0.7899999999999999
70,2025-09-25,0.7799999999999999
70,2025-10-07,0.6799999999999999
70,2025-10-20,0.75
75,2025-06-18,0.76
75,2025-07-03,0.7899999999999999
75,2025-07-17,0.7799999999999999
75,2025-07-31,0.81
75,2025-08-14,0.7899999999999999
75,2025-08-29,0.81
75,2025-09-10,0.8300000000000001
75,2025-09-25,0.7
75,2025-10-07,0.75
75,2025-10-20,0.6699999999999999
76,2025-06-18,0.71
76,2025-07-03,0.75
76,2025-07-17,0.73
76,2025-07-31,0.7899999999999999
76,2025-08-14,0.75
76,2025-08-29,0.72
76,2025-09-10,0.8
76,2025-09-25,0.8
76,2025-10-07,0.7
76,2025-10-20,0.17
77,2025-06-18,0.51
77,2025-07-03,0.74
77,2025-07-17,0.7899999999999999
77,2025-07-31,0.76
77,2025-08-14,0.74
77,2025-08-29,0.77
77,2025-09-10,0.8
77,2025-09-25,0.7799999999999999
77,2025-10-07,0.62
77,2025-10-20,0.76
78,2025-06-18,0.8
78,2025-07-03,0.76
78,2025-07-17,0.77
78,2025-07-31,0.7899999999999999
78,2025-08-14,0.8
78,2025-08-29,0.73
78,2025-09-10,0.8200000000000001
78,2025-09-25,0.7899999999999999
78,2025-10-07,0.63
78,2025-10-20,0.24000000000000002
83,2025-06-18,0.69
83,2025-07-03,0.69
83,2025-07-17,0.6799999999999999
83,2025-07-31,0.69
83,2025-08-14,0.45
83,2025-08-29,0.61
83,2025-09-10,0.8
83,2025-09-25,0.7799999999999999
83,2025-10-07,0.7
83,2025-10-20,0.77
84,2025-06-18,0.64
84,2025-07-03,0
84,2025-07-17,0
84,2025-07-31,0.02
84,2025-08-14,0
84,2025-08-29,0
84,2025-09-10,0
84,2025-09-25,0
84,2025-10-07,0
84,2025-10-20,0
85,2025-06-18,0.73
85,2025-07-03,0
85,2025-07-17,0
85,2025-07-31,0
85,2025-08-14,0
85,2025-08-29,0
85,2025-09-10,0
85,2025-09-25,0
85,2025-10-07,0
85,2025-10-20,0
86,2025-06-18,0.61
86,2025-07-03,0.53
86,2025-07-17,0.58
86,2025-07-31,0.7899999999999999
86,2025-08-14,0.64
86,2025-08-29,0.76
86,2025-09-10,0.7899999999999999
86,2025-09-25,0.8200000000000001
86,2025-10-07,0.73
86,2025-10-20,0.7799999999999999
91,2025-06-18,0.64
91,2025-07-03,0
91,2025-07-17,0
91,2025-07-31,0.01
91,2025-08-14,0
91,2025-08-29,0
91,2025-09-10,0
91,2025-09-25,0
91,2025-10-07,0
91,2025-10-20,0
92,2025-06-18,0.52
92,2025-07-03,0
92,2025-07-17,0
92,2025-07-31,0
92,2025-08-14,0
92,2025-08-29,0
92,2025-09-10,0
92,2025-09-25,0
92,2025-10-07,0
92,2025-10-20,0
93,2025-06-18,0.72
93,2025-07-03,0
93,2025-07-17,0
93,2025-07-31,0.05
93,2025-08-14,0
93,2025-08-29,0
93,2025-09-10,0
93,2025-09-25,0
93,2025-10-07,0
93,2025-10-20,0
94,2025-06-18,0.71
94,2025-07-03,0
94,2025-07-17,0
94,2025-07-31,0.01
94,2025-08-14,0.75
94,2025-08-29,0
94,2025-09-10,0
94,2025-09-25,0
94,2025-10-07,0
94,2025-10-20,0
99,2025-06-18,0.72
99,2025-07-03,0.76
99,2025-07-17,0.7799999999999999
99,2025-07-31,0.76
99,2025-08-14,0.81
99,2025-08-29,0.63
99,2025-09-10,0.75
99,2025-09-25,0.76
99,2025-10-07,0.63
99,2025-10-20,0.61
100,2025-06-18,0.77
100,2025-07-03,0.77
100,2025-07-17,0.8
100,2025-07-31,0.8
100,2025-08-14,0.73
100,2025-08-29,0.7899999999999999
100,2025-09-10,0.8200000000000001
100,2025-09-25,0.8
100,2025-10-07,0.7899999999999999
100,2025-10-20,0.8
101,2025-06-18,0.72
101,2025-07-03,0.73
101,2025-07-17,0.73
101,2025-07-31,0.7799999999999999
101,2025-08-14,0.71
101,2025-08-29,0.65
101,2025-09-10,0.74
101,2025-09-25,0.8
101,2025-10-07,0.47000000000000003
101,2025-10-20,0.43000000000000005
102,2025-06-18,0.74
102,2025-07-03,0.73
102,2025-07-17,0.72
102,2025-07-31,0.74
102,2025-08-14,0.6799999999999999
102,2025-08-29,0.73
102,2025-09-10,0.7899999999999999
102,2025-09-25,0.77
102,2025-10-07,0.69
102,2025-10-20,0.76
107,2025-06-18,0.7899999999999999
107,2025-07-03,0.74
107,2025-07-17,0.77
107,2025-07-31,0.54
107,2025-08-14,0.8
107,2025-08-29,NA
107,2025-09-10,0
107,2025-09-25,0
107,2025-10-07,0
107,2025-10-20,0
108,2025-06-18,0.81
108,2025-07-03,0.74
108,2025-07-17,0.7
108,2025-07-31,0.75
108,2025-08-14,0.81
108,2025-08-29,0
108,2025-09-10,0.69
108,2025-09-25,0.77
108,2025-10-07,0.63
108,2025-10-20,0.6599999999999999
109,2025-06-18,0.8400000000000001
109,2025-07-03,0.74
109,2025-07-17,0.72
109,2025-07-31,0.8
109,2025-08-14,0.71
109,2025-08-29,0.22
109,2025-09-10,0.74
109,2025-09-25,0.8
109,2025-10-07,0
109,2025-10-20,0
110,2025-06-18,0.8300000000000001
110,2025-07-03,0.7
110,2025-07-17,0.8
110,2025-07-31,0.8300000000000001
110,2025-08-14,0.74
110,2025-08-29,0
