boxlabel,weight_mg,d13c_permille,c_perc,d15n_permille,n_perc
b1_p1_c1,5.068,-25.15952292167956,6.237329667542174,2.4869044712887978,0.3619175250754324
b1_p1_c2,5.049,-23.745780815412818,5.9731221986779515,1.8001108629880385,0.31971379048090115
b1_p1_c3,5.039,-25.437282134051877,6.060634952188542,2.5809339659684096,0.3292469187230476
b1_p1_c4,4.976,-24.91449857507735,7.5941958038899555,1.9598661793837744,0.4275249031135137
b1_p2_c1,4.922,-25.150631803774594,6.018853677434605,-0.2858623816420913,0.32933776826357675
b1_p2_c2,4.969,-25.46185292074137,6.0829281150616366,-0.6153385952398813,0.34825160963174434
b1_p2_c3,4.968,-24.686869306336256,6.463913263225093,1.573572484597951,0.32530442671182547
b1_p2_c4,4.989,-24.102948903902607,3.7244943860084527,1.7749848802540487,0.22843552771841216
b1_p3_c1,4.946,-24.441814452056693,6.001210256061102,0.6061916442683778,0.3231250045748899
b1_p3_c2,4.911,-23.252603256738666,5.837727639404523,-0.30297590557410514,0.2999318122289877
b1_p3_c3,5.002,-25.74578431414295,6.040190246619813,0.3689704664531093,0.33123604096667714
b1_p3_c4,4.958,-25.193719969839698,5.024346322842109,0.2701789317622668,0.27669733197150986
b1_p4_c1,5.015,-23.85201268004938,6.644240759766354,2.324725137690846,0.37603879935765905
b1_p4_c2,4.96,-24.554298046050366,6.367817333165196,0.26847097530276326,0.3491583963250248
b1_p4_c3,4.937,-22.131223253682833,4.601608628855127,0.7735578397051137,0.24179805997837128
b1_p4_c4,4.952,-24.86766422299883,6.495166702792122,2.0130949974510135,0.36396007626607013
b1_p5_c1,5.053,-25.04552063290175,8.696585230237945,0.2938270966369516,0.43616572134686726
b1_p5_c2,4.914,-25.000480528324324,5.852231378959824,0.22446805558313543,0.32150590061603584
b1_p5_c3,4.991,-24.132516629836275,7.494093593363738,1.0077903466264715,0.35075373370873925
b1_p5_c4,5.01,-25.35278499473211,7.0506134249881205,0.17881689579142818,0.3565870606043712
b1_p6_c1,5.052,-24.465578983578407,6.2161000624445535,2.012624043217424,0.3321442796031185
