tree_id,n_samples,weight_mm,weight_per_sample,area_mm2,weight_mg,sla_mm2_per_mg,comments
1,4,0.06649,0.0166225,314.1592653589793,66.49,4.724909991863128,NA
3,4,0.06901,0.0172525,314.1592653589793,69.01,4.552373067076935,NA
7,4,0.07469,0.0186725,314.1592653589793,74.69000000000001,4.2061757311417765,NA
9,4,0.06526,0.016315,314.1592653589793,65.26,4.8139636126107765,NA
10,3,0.09862,0.03287333333333333,314.1592653589793,98.62,3.185553288977685,NA
11,3,0.09351,0.03117,314.1592653589793,93.50999999999999,3.35963282385819,NA
13,4,0.08058,0.020145,314.1592653589793,80.58,3.898725060300066,NA
14,3,0.08073,0.02691,314.1592653589793,80.72999999999999,3.891481052384236,NA
16,4,0.07463,0.0186575,314.1592653589793,74.63,4.209557354401438,NA
17,4,0.07514,0.018785,314.1592653589793,75.14,4.180985698149844,NA
18,3,0.13141,0.04380333333333333,314.1592653589793,131.41,2.3906800499123304,NA
19,3,0.09411,0.03137,314.1592653589793,94.11,3.338213424279878,NA
20,4,0.06789,0.0169725,314.1592653589793,67.89,4.627474817483861,NA
23,3,0.11578,0.038593333333333334,314.1592653589793,115.78,2.7134156621089938,NA
24,4,0.0711,0.017775,314.1592653589793,71.1,4.418555068340075,NA
25,3,0.09474,0.031580000000000004,314.1592653589793,94.74000000000001,3.316015044954394,NA
26,3,0.09575,0.03191666666666667,314.1592653589793,95.75,3.2810367139318988,NA
31,4,0.08269,0.0206725,314.1592653589793,82.69,3.799241327354932,NA
33,3,0.09904,0.03301333333333333,314.1592653589793,99.04,3.172044278664977,NA
36,3,0.07606,0.025353333333333335,314.1592653589793,76.06,4.130413691282926,NA
38,3,0.07873,0.02624333333333333,314.1592653589793,78.72999999999999,3.9903374235866806,NA
41,4,0.05921,0.0148025,314.1592653589793,59.21,5.305848089156887,NA
42,3,0.10331,0.034436666666666664,314.1592653589793,103.31,3.0409376184200885,NA
43,3,0.09791,0.03263666666666667,314.1592653589793,97.91,3.2086535119903927,NA
44,4,0.08812,0.02203,314.1592653589793,88.12,3.565130110746474,NA
46,3,0.09701,0.032336666666666666,314.1592653589793,97.01,3.2384214550971993,NA
48,4,0.07234,0.018085,314.1592653589793,72.34,4.34281539064113,NA
52,4,0.06628,0.01657,314.1592653589793,66.28,4.739880286043744,NA
53,4,0.0681,0.017025,314.1592653589793,68.1,4.613205071350651,NA
55,4,0.06279,0.0156975,314.1592653589793,62.79,5.003332781636874,NA
59,3,0.10429,0.034763333333333334,314.1592653589793,104.28999999999999,3.0123623104706048,NA
62,3,0.11655,0.03885,314.1592653589793,116.55,2.695489192269235,NA
63,3,0.09899,0.03299666666666667,314.1592653589793,98.99,3.1736464830687883,NA
65,3,0.12702,0.042339999999999996,314.1592653589793,127.02,2.4733055058965463,NA
67,3,0.12944,0.043146666666666667,314.1592653589793,129.44,2.427064781821534,NA
70,3,0.11795,0.039316666666666666,314.1592653589793,117.95,2.6634952552690065,NA
74,4,0.06162,0.015405,314.1592653589793,61.620000000000005,5.098332771161624,NA
76,4,0.06061,0.0151525,314.1592653589793,60.61,5.183290964510466,NA
79,4,0.07659,0.0191475,314.1592653589793,76.59,4.1018313795401395,NA
81,4,0.054,0.0135,314.1592653589793,54,5.817764173314432,NA
82,3,0.09123,0.030410000000000003,314.1592653589793,91.23,3.443596024980591,NA
83,3,0.06741,0.02247,314.1592653589793,67.41,4.660425238970173,NA
84,4,0.04721,0.0118025,314.1592653589793,47.21,6.654506785828835,NA
85,4,0.0578,0.01445,314.1592653589793,57.8,5.435281407594799,NA
87,3,0.11398,0.03799333333333333,314.1592653589793,113.98,2.75626658500596,NA
89,4,0.04496,0.01124,314.1592653589793,44.96,6.987528144105412,NA
91,4,0.04141,0.0103525,314.1592653589793,41.410000000000004,7.586555550808483,NA
93,4,0.05583,0.0139575,314.1592653589793,55.83,5.627069055328306,NA
97,4,0.07238,0.018095,314.1592653589793,72.38,4.340415382135664,NA
98,3,0.11163,0.03721,314.1592653589793,111.63,2.8142906508911523,NA
99,3,0.1056,0.0352,314.1592653589793,105.6,2.974993043172153,NA
100,4,0.06725,0.0168125,314.1592653589793,67.25,4.671513239538726,NA
102,3,0.10568,0.03522666666666666,314.1592653589793,105.67999999999999,2.972740966682242,NA
104,4,0.06129,0.0153225,314.1592653589793,61.29,5.125783412611835,NA
105,4,0.06184,0.01546,314.1592653589793,61.839999999999996,5.0801951060637025,NA
106,4,0.07122,0.017805,314.1592653589793,71.22,4.411110156683225,NA
107,4,0.07694,0.019235,314.1592653589793,76.94,4.083172151793337,NA
113,3,0.09517,0.03172333333333333,314.1592653589793,95.17,3.301032524524318,NA
115,3,0.06909,0.02303,314.1592653589793,69.09,4.547101828904029,NA
116,3,0.07281,0.02427,314.1592653589793,72.81,4.314781834349393,NA
121,4,0.05919,0.0147975,314.1592653589793,59.19,5.307640908244287,NA
122,3,0.09902,0.03300666666666666,314.1592653589793,99.02,3.172684966259133,NA
124,4,0.06409,0.0160225,314.1592653589793,64.08999999999999,4.901845301279129,NA
125,4,0.0662,0.01655,314.1592653589793,66.19999999999999,4.745608238051048,NA
126,3,0.08621,0.028736666666666664,314.1592653589793,86.21,3.6441162899777213,NA
127,3,0.0859,0.028633333333333334,314.1592653589793,85.9,3.6572673499299104,NA
129,3,0.1007,0.03356666666666667,314.1592653589793,100.7,3.1197543729789405,NA
133,3,0.0749,0.024966666666666665,314.1592653589793,74.89999999999999,4.194382715073155,NA
134,3,0.05272,0.017573333333333333,314.1592653589793,52.720000000000006,5.959014896793993,NA
137,4,0.06414,0.016035,314.1592653589793,64.14,4.898024093529457,NA
139,3,0.05304,0.017679999999999998,314.1592653589793,53.04,5.923063072378946,NA
141,4,0.05408,0.01352,314.1592653589793,54.080000000000005,5.809158013294735,NA
142,3,0.05998,0.01999333333333333,314.1592653589793,59.98,5.237733667205391,NA
143,3,0.09922,0.033073333333333337,314.1592653589793,99.22,3.166289713353954,NA
144,4,0.05874,0.014685,314.1592653589793,58.74,5.348302100084768,NA
148,4,0.07084,0.01771,314.1592653589793,70.84,4.434772238269047,NA
149,4,0.07884,0.01971,314.1592653589793,78.83999999999999,3.984769981722214,NA
152,4,0.07908,0.01977,314.1592653589793,79.08,3.9726765978626624,NA
